Accession       >=0.9   >=0.75  >=0.5   >=0.25  >0      =0
P06239	1	1	18	38	488	5789
P00533	1	1	1	5	414	5863
P15056	0	0	0	2	487	5790
P35968	0	1	1	6	399	5878
Q15139	0	0	2	2	458	5819
Q07912	0	1	1	1	395	5882
P09581	0	0	1	4	334	5943
P47811	2	4	6	23	489	5788
P00523	5	5	18	38	491	5786
Q08881	0	0	3	6	456	5821
O14920	1	1	1	2	484	5793
P04626	0	1	1	5	404	5873
P08069	1	1	5	5	390	5887
O75116	1	1	3	3	398	5879
Q13464	1	1	3	3	411	5866
P04049	0	0	2	2	476	5801
O14578	0	0	0	0	412	5865
O14976	0	0	0	0	379	5898
O43353	0	0	0	0	371	5906
O75676	0	0	1	6	489	5788
O94804	0	0	0	1	485	5792
P00519	1	2	2	5	474	5803
P07947	0	0	18	35	488	5789
P07948	2	2	18	38	484	5793
P07949	0	1	1	1	394	5883
P08581	0	2	3	5	406	5871
P08631	0	0	18	38	484	5793
P09619	0	2	2	5	368	5909
P09769	0	2	18	35	478	5799
P16234	1	2	2	5	379	5898
P17948	0	1	1	6	398	5879
P19525	0	0	0	0	469	5808
P21802	1	1	7	7	443	5834
P29320	1	1	11	15	456	5821
P29322	0	0	10	15	443	5834
P29376	0	0	0	2	331	5946
P31152	0	0	0	1	436	5841
P35590	1	1	1	3	423	5854
P35916	0	1	1	6	396	5881
P42684	0	1	1	5	474	5803
P42685	0	0	0	37	484	5793
P45984	1	5	5	17	476	5801
P48730	2	4	7	11	242	6035
P51451	0	1	18	38	470	5807
P52333	0	1	1	7	456	5821
Q06418	0	0	0	2	408	5869
Q08345	0	0	0	1	385	5892
Q09013	0	0	0	8	389	5888
Q13470	0	0	0	2	395	5882
Q15303	0	0	0	5	430	5847
Q15375	0	0	11	15	454	5823
Q2M2I8	0	0	0	1	279	5998
Q3U3Q1	1	1	1	1	484	5793
Q59H18	0	0	0	0	440	5837
Q6DT37	0	0	0	2	383	5894
Q96D53	0	0	1	1	1	6276
Q96GD4	0	1	5	6	493	5784
Q9BUB5	0	0	1	1	275	6002
Q9H1R3	0	0	0	3	465	5812
Q9H2G2	0	0	0	0	480	5797
Q9HBH9	0	0	1	1	401	5876
Q9NSY1	0	0	0	0	278	5999
Q9P2K8	0	0	0	0	380	5897
Q9UF33	0	0	10	15	396	5881
Q9UM73	0	1	1	1	339	5938
Q9UQB9	0	0	5	35	498	5779
Q06187	1	1	2	9	462	5815
P36888	0	1	1	1	361	5916
P33981	0	0	0	0	366	5911
P53350	0	0	0	2	475	5802
Q02763	1	1	1	3	439	5838
P28482	2	3	3	26	481	5796
Q02750	2	3	3	8	473	5804
P53779	1	5	5	17	464	5813
Q16539	2	4	6	23	487	5790
P12931	3	5	18	38	488	5789
P06493	1	1	9	45	496	5781
P04629	0	0	0	2	394	5883
P78527	0	1	1	1	12	6265
Q13315	0	0	0	0	11	6266
Q13535	0	0	0	0	10	6267
P51812	1	4	4	6	494	5783
O15530	0	0	0	0	493	5784
P06213	2	2	4	5	410	5867
P54760	0	0	4	15	440	5837
Q61214	2	2	2	3	327	5950
