1,Chemical/Ingredient,N0000007632,Thyroxine
2,Chemical/Ingredient,N0000011272,Thiazolidinediones
3,Physiologic Effect,N0000178477,Decreased Blood Pressure
4,Mechanism of Action,N0000010288,Osmotic Activity
5,Mechanism of Action,N0000190114,Cytochrome P450 3A Inhibitors
6,Mechanism of Action,N0000175799,Dopamine D2 Antagonists
7,Mechanism of Action,N0000000114,Dopamine Uptake Inhibitors
8,Physiologic Effect,N0000175732,Neuromuscular Nondepolarizing Blockade
9,Physiologic Effect,N0000175729,Central Nervous System Stimulation
10,Physiologic Effect,N0000008779,Decreased Parasympathetic Acetylcholine Activity
11,Chemical/Ingredient,N0000007618,Ergolines
12,Mechanism of Action,N0000175654,Gonadotropin Releasing Hormone Receptor Agonists
13,Chemical/Ingredient,N0000167094,Benzothiazoles
14,Mechanism of Action,N0000020024,Sclerosing Activity
15,Physiologic Effect,N0000175379,Arteriolar Vasodilation
16,Mechanism of Action,N0000175764,Serotonin 1d Receptor Agonists
17,Physiologic Effect,N0000175914,Increased Coagulation Factor VIII Activity
18,Chemical/Ingredient,N0000007151,Folic Acid
19,Chemical/Ingredient,N0000008053,Sulfones
20,Mechanism of Action,N0000191267,Cytochrome P450 2D6 Inducers
21,Mechanism of Action,N0000175089,Calcium Chelating Activity
22,Physiologic Effect,N0000008486,Decreased Central Nervous System Disorganized Electrical Activity
23,Physiologic Effect,N0000008479,Decreased Cell Wall Synthesis & Repair
24,Mechanism of Action,N0000009947,Nucleoside Reverse Transcriptase Inhibitors
25,Physiologic Effect,N0000009176,Increased Cellular Death
26,Chemical/Ingredient,N0000011281,Penicillins
27,Mechanism of Action,N0000000070,Angiotensin 2 Receptor Antagonists
28,Mechanism of Action,N0000175087,Urease Inhibitors
29,Mechanism of Action,N0000185007,Adrenergic beta3-Agonists
30,Mechanism of Action,N0000000083,Leukotriene Receptor Antagonists
31,Mechanism of Action,N0000191264,P-Glycoprotein Inducers
32,Chemical/Ingredient,N0000011414,Ketolides
33,Chemical/Ingredient,N0000007647,Nitrates
34,Mechanism of Action,N0000187062,Cytochrome P450 2C8 Inhibitors
35,Chemical/Ingredient,N0000006277,Vitamin D
36,Mechanism of Action,N0000191272,UGT1A1 Inhibitors
37,Physiologic Effect,N0000175915,Increased Coagulation Factor VIII Concentration
38,Physiologic Effect,N0000175960,Increased Glutathione Concentration
39,Physiologic Effect,N0000008953,Decreased Striated Muscle Contraction
40,Mechanism of Action,N0000010262,Neurokinin 1 Antagonists
41,Physiologic Effect,N0000009282,Increased Dopamine Activity
42,Mechanism of Action,N0000182138,Cytochrome P450 1A2 Inhibitors
43,Physiologic Effect,N0000175359,Increased Diuresis
44,Mechanism of Action,N0000187063,Cytochrome P450 2C8 Inducers
45,Chemical/Ingredient,N0000175512,Methylated Sulfonamides
46,Mechanism of Action,N0000190111,Organic Anion Transporter 3 Inhibitors
47,Chemical/Ingredient,N0000006999,Urea
48,Mechanism of Action,N0000191265,Organic Cation Transporter 1 Inhibitors
49,Mechanism of Action,N0000000160,Cyclooxygenase Inhibitors
50,Mechanism of Action,N0000000151,Histamine H2 Receptor Antagonists
51,Chemical/Ingredient,N0000007544,Phenothiazines
52,Mechanism of Action,N0000009948,Non-Nucleoside Reverse Transcriptase Inhibitors
53,Chemical/Ingredient,N0000007715,Catecholamines
54,Chemical/Ingredient,N0000005760,Aminosalicylic Acids
55,Mechanism of Action,N0000175516,RNA Synthetase Inhibitors
56,Chemical/Ingredient,N0000171207,Porphyrinogens
57,Physiologic Effect,N0000008859,Decreased Renal K+ Excretion
58,Physiologic Effect,N0000009371,Increased Large Intestinal Motility
59,Mechanism of Action,N0000009963,Thrombin Inhibitors
60,Mechanism of Action,N0000000116,GABA B Agonists
61,Physiologic Effect,N0000008832,Decreased Platelet Aggregation
62,Chemical/Ingredient,N0000007659,Nitrogen Mustard Compounds
63,Mechanism of Action,N0000000115,Progestational Hormone Receptor Antagonists
64,Physiologic Effect,N0000008836,Decreased Prostaglandin Production
65,Physiologic Effect,N0000184306,Cell-mediated Immunity
66,Mechanism of Action,N0000010259,Ultrasound Contrast Activity
67,Physiologic Effect,N0000008683,Decreased Leukotriene Production
68,Physiologic Effect,N0000175830,Inhibit Ovum Fertilization
69,Mechanism of Action,N0000175080,Aromatase Inhibitors
70,Mechanism of Action,N0000187064,Cytochrome P450 2B6 Inducers
71,Mechanism of Action,N0000175967,Thrombopoietin Receptor Interactions
72,Mechanism of Action,N0000000235,Carbonic Anhydrase Inhibitors
73,Chemical/Ingredient,N0000006269,Vitamin A
74,Chemical/Ingredient,N0000007909,Psoralens
75,Mechanism of Action,N0000175921,Adrenal Steroid Synthesis Inhibitors
76,Chemical/Ingredient,N0000007529,Macrolides
77,Chemical/Ingredient,N0000006996,Cholecalciferol
78,Physiologic Effect,N0000009911,Venous Vasodilation
79,Mechanism of Action,N0000185499,Guanylate Cyclase Activators
80,Mechanism of Action,N0000000146,Androgen Receptor Agonists
81,Chemical/Ingredient,N0000006496,Nicotine
82,Mechanism of Action,N0000175808,Hydroxyphenylpyruvate Dioxygenase Inhibitors
83,Physiologic Effect,N0000175728,Central Nervous System Depression
84,Chemical/Ingredient,N0000007641,Nicotinic Acids
85,Chemical/Ingredient,N0000007568,Oxazolidinones
86,Mechanism of Action,N0000175850,Melanin Synthesis Inhibitors
87,Mechanism of Action,N0000190482,Phenylalanine Hydroxylase Activators
88,Chemical/Ingredient,N0000170119,PPAR gamma
89,Physiologic Effect,N0000009456,Increased Norepinephrine Activity
90,Mechanism of Action,N0000000206,Xanthine Oxidase Inhibitors
91,Physiologic Effect,N0000009871,Stimulation Large Intestine Fluid/Electrolyte Secretion
92,Physiologic Effect,N0000009724,Inhibition Gastric Acid Secretion
93,Mechanism of Action,N0000000183,Acetyl Aldehyde Dehydrogenase Inhibitors
94,Physiologic Effect,N0000009269,Increased Cytokine Production
95,Chemical/Ingredient,N0000175073,Platinum-containing Compounds
96,Mechanism of Action,N0000000207,Histamine Receptor Antagonists
97,Mechanism of Action,N0000175817,Serotonin 3 Receptor Antagonists
98,Mechanism of Action,N0000175635,Factor Xa Inhibitors
99,Chemical/Ingredient,N0000007822,Polymyxins
100,Chemical/Ingredient,N0000007542,Benzodiazepines
101,Chemical/Ingredient,N0000006801,Bile Acids and Salts
102,Physiologic Effect,N0000009801,Photosensitizing Activity
103,Mechanism of Action,N0000000102,Norepinephrine Uptake Inhibitors
104,Chemical/Ingredient,N0000191280,Lipoglycopeptides
105,Physiologic Effect,N0000009526,Increased Prostaglandin Activity
106,Mechanism of Action,N0000011310,Aldosterone Antagonists
107,Mechanism of Action,N0000000154,Opioid Antagonists
