1,5345,SERPINF2,serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2,17
2,9409,PEX16,peroxisomal biogenesis factor 16,11
3,10848,PPP1R13L,protein phosphatase 1, regulatory subunit 13 like,19
4,121129,OR2AP1,olfactory receptor, family 2, subfamily AP, member 1,12
5,432,ASGR1,asialoglycoprotein receptor 1,17
6,120526,DNAJC24,DnaJ (Hsp40) homolog, subfamily C, member 24,11
7,100506164,HSFX1,heat shock transcription factor family, X linked 1,X
8,22938,SNW1,SNW domain containing 1,14
9,4656,MYOG,myogenin (myogenic factor 4),1
10,7424,VEGFC,vascular endothelial growth factor C,4
11,6821,SUOX,sulfite oxidase,12
12,4154,MBNL1,muscleblind-like splicing regulator 1,3
13,55200,PLEKHG6,pleckstrin homology domain containing, family G (with RhoGef domain) member 6,12
14,25790,CFAP45,cilia and flagella associated protein 45,1
15,10276,NET1,neuroepithelial cell transforming 1,10
16,2527,FUT5,fucosyltransferase 5 (alpha (1,3) fucosyltransferase),19
17,8633,UNC5C,unc-5 homolog C (C. elegans),4
18,1908,EDN3,endothelin 3,20
19,84811,BUD13,BUD13 homolog (S. cerevisiae),11
20,100506627,DCDC5,doublecortin domain containing 5,11
21,6233,RPS27A,ribosomal protein S27a,2
22,90933,TRIM41,tripartite motif containing 41,5
23,4606,MYBPC2,myosin binding protein C, fast type,19
24,27250,PDCD4,programmed cell death 4 (neoplastic transformation inhibitor),10
25,10712,FAM189B,family with sequence similarity 189, member B,1
26,3987,LIMS1,LIM and senescent cell antigen-like domains 1,2
27,147906,DACT3,dishevelled-binding antagonist of beta-catenin 3,19
28,10109,ARPC2,actin related protein 2/3 complex, subunit 2, 34kDa,2
29,105378955,LOC105378955,tripartite motif-containing protein LOC642612,11
30,717,C2,complement component 2,6
31,57464,STRIP2,striatin interacting protein 2,7
32,84239,ATP13A4,ATPase type 13A4,3
33,29948,OSGIN1,oxidative stress induced growth inhibitor 1,16
34,23223,RRP12,ribosomal RNA processing 12 homolog (S. cerevisiae),10
35,7709,ZBTB17,zinc finger and BTB domain containing 17,1
36,125893,ZNF816,zinc finger protein 816,19
37,362,AQP5,aquaporin 5,12
38,80196,RNF34,ring finger protein 34, E3 ubiquitin protein ligase,12
39,27121,DKK4,dickkopf WNT signaling pathway inhibitor 4,8
40,9521,EEF1E1,eukaryotic translation elongation factor 1 epsilon 1,6
41,2796,GNRH1,gonadotropin-releasing hormone 1 (luteinizing-releasing hormone),8
42,79577,CDC73,cell division cycle 73,1
43,51191,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5,4
44,5494,PPM1A,protein phosphatase, Mg2+/Mn2+ dependent, 1A,14
45,54897,CASZ1,castor zinc finger 1,1
46,219469,OR8H1,olfactory receptor, family 8, subfamily H, member 1,11
47,222696,ZSCAN23,zinc finger and SCAN domain containing 23,6
48,26511,CHIC2,cysteine-rich hydrophobic domain 2,4
49,2208,FCER2,Fc fragment of IgE, low affinity II, receptor for (CD23),19
50,79005,SCNM1,sodium channel modifier 1,1
51,121278,TPH2,tryptophan hydroxylase 2,12
52,8330,HIST1H2AK,histone cluster 1, H2ak,6
53,1605,DAG1,dystroglycan 1 (dystrophin-associated glycoprotein 1),3
54,11004,KIF2C,kinesin family member 2C,1
55,30836,DNTTIP2,deoxynucleotidyltransferase, terminal, interacting protein 2,1
56,102725035,LOC102725035,leukocyte immunoglobulin-like receptor subfamily B member 3,19
57,284612,SYPL2,synaptophysin-like 2,1
58,6954,TCP11,t-complex 11, testis-specific,6
59,28990,ASTE1,asteroid homolog 1 (Drosophila),3
60,4303,FOXO4,forkhead box O4,X
61,89857,KLHL6,kelch-like family member 6,3
62,79665,DHX40,DEAH (Asp-Glu-Ala-His) box polypeptide 40,17
63,25923,ATL3,atlastin GTPase 3,11
64,10409,BASP1,brain abundant, membrane attached signal protein 1,5
65,3684,ITGAM,integrin, alpha M (complement component 3 receptor 3 subunit),16
66,9806,SPOCK2,sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2,10
67,2041,EPHA1,EPH receptor A1,7
68,391004,PRAMEF17,PRAME family member 17,1
69,84944,MAEL,maelstrom spermatogenic transposon silencer,1
70,146227,BEAN1,brain expressed, associated with NEDD4, 1,16
71,6382,SDC1,syndecan 1,2
72,5763,PTMS,parathymosin,12
73,158471,PRUNE2,prune homolog 2 (Drosophila),9
74,3096,HIVEP1,human immunodeficiency virus type I enhancer binding protein 1,6
75,100289678,ZNF783,zinc finger family member 783,7
76,79893,GGNBP2,gametogenetin binding protein 2,17
77,9218,VAPA,VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa,18
78,1469,CST1,cystatin SN,20
79,51491,NOP16,NOP16 nucleolar protein,5
80,102724164,LOC102724164,uncharacterized LOC102724164,17
81,101929983,LOC101929983,PRAME family member 9/15-like,1
82,128272,ARHGEF19,Rho guanine nucleotide exchange factor (GEF) 19,1
83,374918,IGFL1,IGF-like family member 1,19
84,57613,KIAA1467,KIAA1467,12
85,93145,OLFM2,olfactomedin 2,19
86,389813,C9orf172,chromosome 9 open reading frame 172,9
87,285500,LOC285500,uncharacterized LOC285500,4
88,5191,PEX7,peroxisomal biogenesis factor 7,6
89,7580,ZNF32,zinc finger protein 32,10
90,80329,ULBP1,UL16 binding protein 1,6
91,11278,KLF12,Kruppel-like factor 12,13
92,130367,SGPP2,sphingosine-1-phosphate phosphatase 2,2
93,9670,IPO13,importin 13,1
94,84515,MCM8,minichromosome maintenance complex component 8,20
95,79726,WDR59,WD repeat domain 59,16
96,645263,LOC645263,hCG1793639,15
97,9051,PSTPIP1,proline-serine-threonine phosphatase interacting protein 1,15
98,278,AMY1C,amylase, alpha 1C (salivary),1
99,7270,TTF1,transcription termination factor, RNA polymerase I,9
100,284309,ZNF776,zinc finger protein 776,19
101,144448,TSPAN19,tetraspanin 19,12
102,5627,PROS1,protein S (alpha),3
103,5008,OSM,oncostatin M,22
104,203569,PAGE2,P antigen family, member 2 (prostate associated),X
105,554282,FAM72C,family with sequence similarity 72, member C,1
106,11130,ZWINT,ZW10 interacting kinetochore protein,10
107,2357,FPR1,formyl peptide receptor 1,19
108,8479,HIRIP3,HIRA interacting protein 3,16
109,1738,DLD,dihydrolipoamide dehydrogenase,7
110,51760,SYT17,synaptotagmin XVII,16
111,94033,FTMT,ferritin mitochondrial,5
112,347404,LANCL3,LanC lantibiotic synthetase component C-like 3 (bacterial),X
113,84641,HIATL1,hippocampus abundant transcript-like 1,9
114,389058,SP5,Sp5 transcription factor,2
115,7103,TSPAN8,tetraspanin 8,12
116,57125,PLXDC1,plexin domain containing 1,17
117,4436,MSH2,mutS homolog 2,2
118,54458,PRR13,proline rich 13,12
119,221078,NSUN6,NOP2/Sun domain family, member 6,10
120,26056,RAB11FIP5,RAB11 family interacting protein 5 (class I),2
121,10558,SPTLC1,serine palmitoyltransferase, long chain base subunit 1,9
122,3817,KLK2,kallikrein-related peptidase 2,19
123,9939,RBM8A,RNA binding motif protein 8A,1
124,285800,PRR18,proline rich 18,6
125,547,KIF1A,kinesin family member 1A,2
126,84069,PLEKHN1,pleckstrin homology domain containing, family N member 1,1
127,23053,ZSWIM8,zinc finger, SWIM-type containing 8,10
128,6515,SLC2A3,solute carrier family 2 (facilitated glucose transporter), member 3,12
129,283554,GPR137C,G protein-coupled receptor 137C,14
130,5896,RAG1,recombination activating gene 1,11
131,101927751,LOC101927751,E3 ubiquitin-protein ligase RING1-like,15
132,728661,SLC35E2B,solute carrier family 35, member E2B,1
133,9367,RAB9A,RAB9A, member RAS oncogene family,X
134,2626,GATA4,GATA binding protein 4,8
135,341567,H1FNT,H1 histone family, member N, testis-specific,12
136,105372496,LOC105372496,uncharacterized LOC105372496,20
137,1978,EIF4EBP1,eukaryotic translation initiation factor 4E binding protein 1,8
138,8748,ADAM20,ADAM metallopeptidase domain 20,14
139,999,CDH1,cadherin 1, type 1, E-cadherin (epithelial),16
140,51021,MRPS16,mitochondrial ribosomal protein S16,10
141,92270,ATP6AP1L,ATPase, H+ transporting, lysosomal accessory protein 1-like,5
142,145788,C15orf65,chromosome 15 open reading frame 65,15
143,7991,TUSC3,tumor suppressor candidate 3,8
144,83902,KRTAP17-1,keratin associated protein 17-1,17
145,256223,CDRT15L2,CMT1A duplicated region transcript 15-like 2,17
146,5324,PLAG1,pleiomorphic adenoma gene 1,8
147,64135,IFIH1,interferon induced with helicase C domain 1,2
148,55346,TCP11L1,t-complex 11, testis-specific-like 1,11
149,386676,KRTAP10-9,keratin associated protein 10-9,21
150,4705,NDUFA10,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa,2
151,81502,HM13,histocompatibility (minor) 13,20
152,26341,OR5H1,olfactory receptor, family 5, subfamily H, member 1,3
153,10827,FAM114A2,family with sequence similarity 114, member A2,5
154,2054,STX2,syntaxin 2,12
155,129881,CCDC173,coiled-coil domain containing 173,2
156,9184,BUB3,BUB3 mitotic checkpoint protein,10
157,411,ARSB,arylsulfatase B,5
158,22917,ZP1,zona pellucida glycoprotein 1 (sperm receptor),11
159,7403,KDM6A,lysine (K)-specific demethylase 6A,X
160,55798,METTL2B,methyltransferase like 2B,7
161,26086,GPSM1,G-protein signaling modulator 1,9
162,4133,MAP2,microtubule-associated protein 2,2
163,55179,FAIM,Fas apoptotic inhibitory molecule,3
164,8612,PPAP2C,phosphatidic acid phosphatase type 2C,19
165,765,CA6,carbonic anhydrase VI,1
166,84790,TUBA1C,tubulin, alpha 1c,12
167,105376855,LOC105376855,uncharacterized LOC105376855,18
168,283870,BRICD5,BRICHOS domain containing 5,16
169,146057,TTBK2,tau tubulin kinase 2,15
170,114112,TXNRD3,thioredoxin reductase 3,3
171,115004,MB21D1,Mab-21 domain containing 1,6
172,27229,TUBGCP4,tubulin, gamma complex associated protein 4,15
173,100288520,USP17L15,ubiquitin specific peptidase 17-like family member 15,4
174,10691,GMEB1,glucocorticoid modulatory element binding protein 1,1
175,10072,DPP3,dipeptidyl-peptidase 3,11
176,1299,COL9A3,collagen, type IX, alpha 3,20
177,51321,AMZ2,archaelysin family metallopeptidase 2,17
178,93594,TBC1D31,TBC1 domain family, member 31,8
179,680,BRS3,bombesin-like receptor 3,X
180,389643,NUGGC,nuclear GTPase, germinal center associated,8
181,29927,SEC61A1,Sec61 alpha 1 subunit (S. cerevisiae),3
182,23186,RCOR1,REST corepressor 1,14
183,6648,SOD2,superoxide dismutase 2, mitochondrial,6
184,164633,CABP7,calcium binding protein 7,22
185,90324,CCDC97,coiled-coil domain containing 97,19
186,641371,ACOT1,acyl-CoA thioesterase 1,14
187,282679,AQP11,aquaporin 11,11
188,6045,RNF2,ring finger protein 2,1
189,3654,IRAK1,interleukin-1 receptor-associated kinase 1,X
190,149345,SHISA4,shisa family member 4,1
191,9500,MAGED1,melanoma antigen family D1,X
192,2775,GNAO1,guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O,16
193,102724446,LOC102724446,uncharacterized LOC102724446,1
194,8881,CDC16,cell division cycle 16,13
195,108,ADCY2,adenylate cyclase 2 (brain),5
196,51154,MRTO4,mRNA turnover 4 homolog (S. cerevisiae),1
197,105374700,LOC105374700,uncharacterized LOC105374700,5
198,256356,GK5,glycerol kinase 5 (putative),3
199,5457,POU4F1,POU class 4 homeobox 1,13
200,101060569,LOC101060569,golgin subfamily A member 6-like protein 1,15
201,4854,NOTCH3,notch 3,19
202,54876,DCAF16,DDB1 and CUL4 associated factor 16,4
203,219432,OR4C6,olfactory receptor, family 4, subfamily C, member 6,11
204,115273,RAB42,RAB42, member RAS oncogene family,1
205,10960,LMAN2,lectin, mannose-binding 2,5
206,2187,FANCB,Fanconi anemia, complementation group B,X
207,341112,WARSP1,tryptophanyl-tRNA synthetase pseudogene 1,11
208,8309,ACOX2,acyl-CoA oxidase 2, branched chain,3
209,30815,ST6GALNAC6,ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6,9
210,7536,SF1,splicing factor 1,11
211,56955,MEPE,matrix extracellular phosphoglycoprotein,4
212,729431,GAGE12E,G antigen 12E,X
213,124093,CCDC78,coiled-coil domain containing 78,16
214,100125288,ZGLP1,zinc finger, GATA-like protein 1,19
215,10179,RBM7,RNA binding motif protein 7,11
216,25902,MTHFD1L,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like,6
