1,PC7_3805,FCERI mediated Ca+2 mobilization
2,PC7_3964,Formation of annular gap junctions
3,PC7_1532,Activation of G protein gated Potassium channels
4,PC7_4961,Leukotriene receptors
5,PC7_2651,Cobalamin (Cbl, vitamin B12) transport and metabolism
6,PC7_1578,Adrenoceptors
7,PC7_6660,Pyrimidine biosynthesis
8,PC7_6403,Peroxisomal lipid metabolism
9,WP1545_r84697,miRNAs involved in DNA damage response
10,PC7_1223,Abnormal metabolism in phenylketonuria
11,PC7_4037,GLI3 is processed to GLI3R by the proteasome
12,PC7_8766,Vpu mediated degradation of CD4
13,PC7_3991,G alpha (12/13) signalling events
14,WP3595_r84854,mir-124 predicted interactions with cell cycle and differentiation 
15,PC7_610,2-LTR circle formation
16,PC7_4219,Glutathione conjugation
17,PC7_5530,Mitotic M-M/G1 phases
18,PC7_3994,G alpha (s) signalling events
19,PC7_4725,Inflammasomes
20,PC7_3326,Downstream signaling events of B Cell Receptor (BCR)
21,PC7_2334,CREB phosphorylation through the activation of CaMKK
22,PC7_4269,Glycolysis
23,PC7_11018,beta-catenin independent WNT signaling
24,PC7_4009,G2/M DNA damage checkpoint
25,PC7_5332,Metabolism of steroid hormones and vitamin D
26,PC7_6906,Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells
27,PC7_12285,p75NTR signals via NF-kB
28,WP2943_r83778,Hypoxia-mediated EMT and Stemness
29,PC7_4766,Interactions of Rev with host cellular proteins
30,PC7_1810,Assembly Of The HIV Virion
31,WP176_r82704,Folate Metabolism
32,PC7_1596,Alpha-defensins
33,WP2870_r79555,Extracellular vesicle-mediated signaling in recipient cells
34,PC7_5886,Neurofascin interactions
35,WP61_r78592,Notch Signaling Pathway
36,PC7_6870,Reelin signaling pathway
37,PC7_1105,ALK2 signaling events
38,PC7_3864,FRS2-mediated cascade
39,WP2361_r84551,Gastric Cancer Network 1
40,PC7_12266,p38 MAPK signaling pathway
41,PC7_4468,Highly calcium permeable nicotinic acetylcholine receptors
42,PC7_2118,Breakdown of the nuclear lamina
43,WP1589_r82223,Folate-Alcohol and Cancer Pathway
44,PC7_6666,Pyrophosphate hydrolysis
45,PC7_3283,Displacement of DNA glycosylase by APE1
46,PC7_1598,Alpha-synuclein signaling
47,PC7_4417,HSF1-dependent transactivation
48,PC7_7489,Signaling events mediated by HDAC Class II
49,PC7_4334,HDACs deacetylate histones
50,WP623_r79961,Oxidative phosphorylation
51,PC7_6788,RMTs methylate histone arginines
52,PC7_3845,FMO oxidises nucleophiles
53,PC7_6172,PKA activation in glucagon signalling
54,PC7_4773,Interferon gamma signaling
55,PC7_1600,Alpha6 beta4 integrin-ligand interactions
56,PC7_4161,Glucocorticoid receptor regulatory network
57,PC7_5837,NS1 Mediated Effects on Host Pathways
58,PC7_7745,Synthesis of PG
59,WP1539_r79949,Angiogenesis
60,PC7_3666,Endosomal Sorting Complex Required For Transport (ESCRT)
61,WP78_r70014,TCA Cycle
62,PC7_3014,Deadenylation of mRNA
63,PC7_3975,Formyl peptide receptors bind formyl peptides and many other ligands
64,PC7_2677,Conjugation of phenylacetate with glutamine
65,WP384_r67054,Apoptosis Modulation by HSP70
66,PC7_4660,IRF3-mediated induction of type I IFN
67,PC7_7272,SIRT1 negatively regulates rRNA Expression
68,WP311_r68921,Synthesis and Degradation of Ketone Bodies
69,PC7_2946,DNA Damage Bypass
70,PC7_2164,Butyrate Response Factor 1 (BRF1) destabilizes mRNA
71,PC7_7788,TCR signaling in naïve CD8+ T cells
72,WP560_r83868,TGF-beta Receptor Signaling
73,PC7_1522,Activation of ATR in response to replication stress
74,WP3601_r84331,Composition of Lipid Particles
75,PC7_3319,Double-Strand Break Repair
76,PC7_5873,Nef mediated downregulation of MHC class I complex cell surface expression
77,PC7_6866,Recycling of bile acids and salts
78,PC7_6901,Regulation of cytoskeletal remodeling and cell spreading by IPP complex components
79,PC7_1181,ATF4 activates genes
80,WP2828_r79529,Bladder Cancer
81,PC7_4531,Hydrolysis of LPE
82,PC7_3649,Elastic fibre formation
83,PC7_6925,Release of Hh-Np from the secreting cell
84,PC7_2460,Calnexin/calreticulin cycle
85,PC7_4214,Glucuronidation
86,PC7_12488,repression of WNT target genes
87,PC7_4063,GRB2:SOS provides linkage to MAPK signaling for Integrins
88,PC7_7490,Signaling events mediated by HDAC Class III
89,PC7_1672,Antigen processing: Ubiquitination & Proteasome degradation
90,PC7_7446,Signaling by ERBB4
91,PC7_6142,PECAM1 interactions
92,WP666_r68893,Hypothetical Network for Drug Addiction
93,PC7_12069,mRNA Capping
94,WP1544_r84696,MicroRNAs in cardiomyocyte hypertrophy
95,PC7_2912,Cytosolic tRNA aminoacylation
96,WP2034_r80016,Leptin signaling pathway
97,PC7_6642,Protein folding
98,PC7_3876,FasL/ CD95L signaling
99,WP561_r72035,Heme Biosynthesis
100,WP465_r79226,Tryptophan metabolism
101,PC7_3874,Fanconi Anemia pathway
102,PC7_8355,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane
103,PC7_2831,Cyclin B2 mediated events
104,WP2857_r80151,Mesodermal Commitment Pathway
105,PC7_3993,G alpha (q) signalling events
