#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp2c19-Potency_&#956;M","p450-cyp2c19-Curve_Description","p450-cyp2c19-Fit_LogAC50","p450-cyp2c19-Fit_HillSlope","p450-cyp2c19-Fit_R2","p450-cyp2c19-Fit_InfiniteActivity_%","p450-cyp2c19-Fit_ZeroActivity_%","p450-cyp2c19-Fit_CurveClass","p450-cyp2c19-Excluded_Points","p450-cyp2c19-Max_Response","p450-cyp2c19-Activity at 0.0007 uM_%","p450-cyp2c19-Activity at 0.00160 uM_%","p450-cyp2c19-Activity at 0.00368 uM_%","p450-cyp2c19-Activity at 0.00820 uM_%","p450-cyp2c19-Activity at 0.018 uM_%","p450-cyp2c19-Activity at 0.041 uM_%","p450-cyp2c19-Activity at 0.091 uM_%","p450-cyp2c19-Activity at 0.204 uM_%","p450-cyp2c19-Activity at 0.457 uM_%","p450-cyp2c19-Activity at 1.022 uM_%","p450-cyp2c19-Activity at 2.286 uM_%","p450-cyp2c19-Activity at 5.111 uM_%","p450-cyp2c19-Activity at 11.43 uM_%","p450-cyp2c19-Activity at 25.56 uM_%","p450-cyp2c19-Activity at 57.14 uM_%"
1,26751439,16758817,"NCGC",,Unspecified,,,"",2009/07/08,2,44,1.58489,Partial curve; partial efficacy,-5.8,3.132,0.9789,-67.521,17.391,-2.2,0 1 0 0 0 0 0,-67.01,12.92,,-33.35,,10.54,,26.9,,17.99,,-47.51,,-67.01,,
2,26751332,16758720,"NCGC",,Unspecified,,,"",2009/07/08,2,90,0.251189,Complete curve; high efficacy,-6.6,1.6436,0.9918,-95.752,-22.148,-1.1,0 0 0 1 0 0 0,-99.72,-20.16,,-26.19,,-21.83,,223.6,,-74.61,,-89.86,,-99.72,,
3,26751240,16758628,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.1341,0.9195,-75.9365,0.799,-2.2,0 0 0 0 0 0 0,-60.28,1.308,,-5.855,,1.325,,11.73,,-13.28,,-21.94,,-60.28,,
4,26751193,16758581,"NCGC",,Unspecified,,,"",2009/07/08,2,45,1.58489,Partial curve; partial efficacy,-5.8,0.9,0.9754,-91.164,11.721,-2.2,0 0 0 0 0 0 0,-77.22,16.78,,2.349,,17.2,,0.0051,,-11.87,,-47.07,,-77.22,,
5,26751173,14947879,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.398107,Complete curve; high efficacy,-6.4,1.21,0.9013,-98.3303,-10.4138,-1.1,0 0 0 0 0 0 0,-100.6,3.538,,-34.3,,-7.704,,-15.27,,-64.43,,-81.78,,-100.6,,
6,26751172,746501,"NCGC",,Unspecified,,,"",2009/07/08,2,49,0.794328,Partial curve; high efficacy,-6.1,0.7,0.9848,-114.775,7.3197,-2.1,0 0 0 1 0 0 0,-98.93,-1.424,,13.68,,-1.3,,64.9,,-44.23,,-73.14,,-98.93,,
7,26751162,6917575,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.251189,Complete curve; high efficacy,-6.6,1.3443,0.9384,-94.5552,8.4838,-1.1,0 0 0 0 0 0 0,-104.9,-0.51,,-0.6681,,25.62,,-16.58,,-63.68,,-77.04,,-104.9,,
8,26751158,16758566,"NCGC",,Unspecified,,,"",2009/07/08,2,45,1.99526,Partial curve; high efficacy,-5.7,4.9549,0.8636,-96.5235,-6.3245,-2.1,1 0 0 1 0 0 0,-94.81,34.69,,-11.67,,-26.2,,60.27,,20.18,,-68.09,,-94.81,,
9,26751153,16758563,"NCGC",,Unspecified,,,"",2009/07/08,2,46,1.58489,Partial curve; high efficacy,-5.8,0.7,0.9161,-105.33,-2.288,-2.1,0 0 0 0 0 0 0,-85.78,-9.133,,12.1,,-21.51,,-8.631,,-35.14,,-58.36,,-85.78,,
10,26751151,16758561,"NCGC",,Unspecified,,,"",2009/07/08,2,46,3.16228,Partial curve; high efficacy,-5.5,0.9,0.932,-138.287,15.2317,-2.1,0 0 0 0 0 0 0,-103.7,3.947,,1.53,,34.77,,17.43,,-15.81,,-47.84,,-103.7,,
