#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp2c9-Potency_&#956;M","p450-cyp2c9-Curve_Description","p450-cyp2c9-Fit_LogAC50","p450-cyp2c9-Fit_HillSlope","p450-cyp2c9-Fit_R2","p450-cyp2c9-Fit_InfiniteActivity_%","p450-cyp2c9-Fit_ZeroActivity_%","p450-cyp2c9-Fit_CurveClass","p450-cyp2c9-Excluded_Points","p450-cyp2c9-Max_Response","p450-cyp2c9-Activity at 0.0007 uM_%","p450-cyp2c9-Activity at 0.00160 uM_%","p450-cyp2c9-Activity at 0.00368 uM_%","p450-cyp2c9-Activity at 0.00820 uM_%","p450-cyp2c9-Activity at 0.018 uM_%","p450-cyp2c9-Activity at 0.041 uM_%","p450-cyp2c9-Activity at 0.091 uM_%","p450-cyp2c9-Activity at 0.204 uM_%","p450-cyp2c9-Activity at 0.457 uM_%","p450-cyp2c9-Activity at 1.022 uM_%","p450-cyp2c9-Activity at 2.286 uM_%","p450-cyp2c9-Activity at 5.111 uM_%","p450-cyp2c9-Activity at 11.43 uM_%","p450-cyp2c9-Activity at 25.56 uM_%","p450-cyp2c9-Activity at 57.14 uM_%"
1,26751233,16758621,"NCGC",,Unspecified,,,"",2009/07/08,2,44,1.99526,Partial curve; partial efficacy,-5.7,1.8265,0.9942,-69.927,17.591,-2.2,0 0 0 0 0 0 0,-65.28,17.59,,20.63,,13.83,,15.68,,14.71,,-33.74,,-65.28,,
2,26751193,16758581,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; partial efficacy,-5.4,0.8,0.8886,-94.118,11.899,-2.2,0 0 0 0 0 0 0,-71.1,16.88,,13.83,,10.53,,4.663,,-18.6,,-11.96,,-71.1,,
3,26751184,6636331,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.5936,0.9714,-79.668,11.8975,-2.2,0 0 0 0 0 0 0,-66.39,7.356,,21.56,,6.961,,13.42,,5.954,,-14.88,,-66.39,,
4,26751178,16758575,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,3.2975,0.9827,-67.7929,-6.3619,-2.2,0 0 0 0 0 0 0,-65.53,-2.099,,-11.41,,-6.001,,-7.473,,-4.551,,-16.52,,-65.53,,
5,26751167,11025308,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,3.5722,0.9739,-65.9679,3.3479,-2.2,0 0 0 0 0 0 0,-65.1,6.794,,6.233,,-0.0997,,-3.823,,7.943,,-13.31,,-65.1,,
6,26751162,6917575,"NCGC",,Unspecified,,,"",2009/07/08,2,49,0.794328,Partial curve; high efficacy,-6.1,0.7,0.9984,-118.995,16.0958,-2.1,0 0 0 0 0 0 0,-100.6,12.09,,14.37,,9.187,,-9.171,,-37.05,,-76.93,,-100.6,,
7,26751153,16758563,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; partial efficacy,-5.5,0.8,0.9361,-85.568,15.716,-2.2,0 0 0 0 0 0 0,-64.28,12.73,,19.73,,8.32,,20.04,,-12.96,,-21.46,,-64.28,,
8,26751151,16758561,"NCGC",,Unspecified,,,"",2009/07/08,2,44,1.99526,Partial curve; partial efficacy,-5.7,1.8265,0.9686,-71.826,9.5,-2.2,0 0 0 0 0 0 0,-66.58,5.785,,0.9034,,12.93,,17.72,,6.65,,-38.49,,-66.58,,
9,26751148,6636404,"NCGC",,Unspecified,,,"",2009/07/08,2,44,2.51189,Partial curve; partial efficacy,-5.6,0.9,0.9445,-86.679,4.437,-2.2,0 0 0 0 0 0 0,-68.43,-2.882,,1.949,,17.2,,-5.2,,-11,,-38.73,,-68.43,,
10,26751146,16758557,"NCGC",,Unspecified,,,"",2009/07/08,2,44,2.51189,Partial curve; partial efficacy,-5.6,1.8851,0.898,-76.211,6.7365,-2.2,1 0 0 0 0 0 0,-70.57,25.54,,-5.066,,24.7,,-2.94,,9.165,,-34.25,,-70.57,,
