#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp3a4-Potency_&#956;M","p450-cyp3a4-Curve_Description","p450-cyp3a4-Fit_LogAC50","p450-cyp3a4-Fit_HillSlope","p450-cyp3a4-Fit_R2","p450-cyp3a4-Fit_InfiniteActivity_%","p450-cyp3a4-Fit_ZeroActivity_%","p450-cyp3a4-Fit_CurveClass","p450-cyp3a4-Excluded_Points","p450-cyp3a4-Max_Response_%","p450-cyp3a4-Activity at 0.0007 uM_%","p450-cyp3a4-Activity at 0.00164 uM_%","p450-cyp3a4-Activity at 0.00366 uM_%","p450-cyp3a4-Activity at 0.00818 uM_%","p450-cyp3a4-Activity at 0.018 uM_%","p450-cyp3a4-Activity at 0.041 uM_%","p450-cyp3a4-Activity at 0.091 uM_%","p450-cyp3a4-Activity at 0.204 uM_%","p450-cyp3a4-Activity at 0.457 uM_%","p450-cyp3a4-Activity at 1.022 uM_%","p450-cyp3a4-Activity at 2.286 uM_%","p450-cyp3a4-Activity at 5.111 uM_%","p450-cyp3a4-Activity at 11.43 uM_%","p450-cyp3a4-Activity at 25.56 uM_%","p450-cyp3a4-Activity at 57.14 uM_%"
1,26751409,16758794,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,0.9,0.9736,-105.652,-4.6553,-2.1,0 0 0 0 0 0 0,-81.2472,0.3062,,-0.5765,,-9.7301,,-13.1451,,-19.2734,,-37.9589,,-81.2472,,
2,26751407,16758794,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.8079,0.9829,-88.7488,-4.4251,-2.2,0 0 0 0 0 0 0,-78.5095,0.7419,,-9.2063,,-2.1997,,-4.1745,,-10.6639,,-25.3074,,-78.5095,,
3,26751395,16758783,"NCGC",,Unspecified,,,"",2009/07/08,2,44,5.01187,Partial curve; high efficacy,-5.3,1.21,0.9644,-121.957,-9.2855,-2.1,0 0 0 0 0 0 0,-93.9455,-1.719,,-3.0918,,-14.6468,,-15.2662,,-21.6785,,-36.2374,,-93.9455,,
4,26751391,16758779,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,2.3531,0.988,-95.2001,-15.152,-2.1,0 0 0 0 0 0 0,-88.879,-9.331,,-17.9776,,-14.5899,,-14.331,,-19.1525,,-32.4426,,-88.879,,
5,26751388,16758776,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; partial efficacy,-5.3,1.21,0.9784,-99.0457,-6.1284,-2.2,0 0 0 0 0 0 0,-76.1811,-2.9564,,0.1027,,-9.0946,,-12.008,,-12.5765,,-31.5528,,-76.1811,,
6,26751387,16758775,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.98107,Partial curve; high efficacy,-5.4,1.3723,0.991,-113.774,-4.2761,-2.1,0 0 0 0 0 0 0,-93.8513,-4.7394,,-0.81,,-4.0149,,-4.9537,,-15.4647,,-35.4607,,-93.8513,,
7,26751381,16758769,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; partial efficacy,-5.4,1,0.9906,-91.7844,-2.6839,-2.2,0 0 0 0 0 0 0,-70.6119,-1.2994,,-0.1115,,-4.3668,,-7.5938,,-13.3012,,-31.7672,,-70.6119,,
8,26751359,16758747,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,4.4495,0.9827,-78.7543,-13.3544,-2.2,0 0 0 0 0 0 0,-78.4119,-10.0582,,-10.012,,-14.3101,,-12.9653,,-19.5966,,-26.0718,,-78.4119,,
9,26751333,16758721,"NCGC",,Unspecified,,,"",2009/07/08,2,44,5.01187,Partial curve; high efficacy,-5.3,1.331,0.9761,-111.77,-14.4107,-2.1,0 0 0 0 0 0 0,-87.1795,-18.0131,,-5.6298,,-16.7212,,-18.5454,,-17.9898,,-40.2728,,-87.1795,,
10,26751297,16758685,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; high efficacy,-5.5,4.9549,0.9865,-82.9404,-12.5075,-2.1,0 0 0 0 0 0 0,-82.8614,-7.9285,,-15.9598,,-12.1231,,-11.1644,,-16.9859,,-23.1966,,-82.8614,,
11,26751296,16758684,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,2.3531,0.9913,-93.3533,-6.1923,-2.1,0 0 0 0 0 0 0,-85.9745,-2.8135,,-3.072,,-6.597,,-6.2619,,-11.417,,-26.586,,-85.9745,,
12,26751279,16758667,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,2.3531,0.9839,-71.3716,-10.361,-2.2,0 0 0 0 0 0 0,-66.5605,-6.55,,-14.4324,,-12.1163,,-7.6224,,-11.4925,,-24.34,,-66.5605,,
13,26751278,16758666,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,1.2475,0.9855,-110.404,-2.066,-2.1,0 0 0 0 0 0 0,-89.0594,1.601,,1.4866,,-2.3463,,-7.2726,,-14.0615,,-33.7792,,-89.0594,,
14,26751277,16758665,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; partial efficacy,-5.4,1.3437,0.9701,-93.4457,-0.3617,-2.2,0 0 0 0 0 0 0,-77.8714,5.7456,,-4.7714,,1.9895,,1.4275,,-13.2921,,-26.5898,,-77.8714,,
15,26751264,16758652,"NCGC",,Unspecified,,,"",2009/07/08,2,45,1.25893,Partial curve; partial efficacy,-5.9,1.21,0.954,-77.7367,-17.5721,-2.2,0 0 0 0 0 0 0,-74.5689,-21.3571,,-18.2516,,-21.3937,,-9.6502,,-35.0745,,-56.2904,,-74.5689,,
