#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp2d6-Potency_&#956;M","p450-cyp2d6-Curve_Description","p450-cyp2d6-Fit_LogAC50","p450-cyp2d6-Fit_HillSlope","p450-cyp2d6-Fit_R2","p450-cyp2d6-Fit_InfiniteActivity_%","p450-cyp2d6-Fit_ZeroActivity_%","p450-cyp2d6-Fit_CurveClass","p450-cyp2d6-Excluded_Points","p450-cyp2d6-Max_Response_%","p450-cyp2d6-Activity at 0.0007 uM_%","p450-cyp2d6-Activity at 0.00160 uM_%","p450-cyp2d6-Activity at 0.00368 uM_%","p450-cyp2d6-Activity at 0.00820 uM_%","p450-cyp2d6-Activity at 0.018 uM_%","p450-cyp2d6-Activity at 0.041 uM_%","p450-cyp2d6-Activity at 0.091 uM_%","p450-cyp2d6-Activity at 0.204 uM_%","p450-cyp2d6-Activity at 0.457 uM_%","p450-cyp2d6-Activity at 1.022 uM_%","p450-cyp2d6-Activity at 2.286 uM_%","p450-cyp2d6-Activity at 5.111 uM_%","p450-cyp2d6-Activity at 11.43 uM_%","p450-cyp2d6-Activity at 25.56 uM_%","p450-cyp2d6-Activity at 57.14 uM_%"
1,26751346,16758734,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,1.111,0.9844,-107.502,3.385,-2.1,0 0 0 0 0 0 0,-82.31,2.512,,9.99,,3.938,,-4.823,,-6.317,,-32.6,,-82.31,,
2,26751332,16758720,"NCGC",,Unspecified,,,"",2009/07/08,2,46,1.58489,Partial curve; high efficacy,-5.8,1,0.9703,-93.5253,-0.6947,-2.1,0 0 0 0 0 0 0,-85.6,-5.023,,6.347,,2.414,,-15.54,,-20.13,,-53.77,,-85.6,,
3,26751328,16758716,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,4.5045,0.9709,-65.6861,0.0562,-2.2,0 0 0 0 0 0 0,-65.34,-3.911,,-1.68,,-1.176,,-2.06,,9.098,,-11.97,,-65.34,,
4,26751310,16758698,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,2.3031,0.998,-66.1979,1.9358,-2.2,0 0 0 0 0 0 0,-62.9,1.649,,-0.0316,,2.288,,1.285,,2.742,,-20.37,,-62.9,,
5,26751251,16758639,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; partial efficacy,-5.4,1.5386,0.9608,-94.188,-2.2182,-2.2,0 0 0 0 0 0 0,-79.74,-2.556,,7.442,,-0.9235,,-11.84,,-9.162,,-27.17,,-79.74,,
6,26751247,16758635,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,3.5117,0.9855,-70.2359,-1.2241,-2.2,0 0 0 0 0 0 0,-69.55,-7.326,,2.691,,-1.806,,0.8978,,-1.05,,-18.24,,-69.55,,
7,26751220,16758608,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; partial efficacy,-5.4,1,0.9909,-100.674,-1.0099,-2.2,0 0 0 0 0 0 0,-77.22,2.879,,-2.069,,-1.186,,-7.536,,-11.94,,-35.28,,-77.22,,
8,26751211,16758599,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,2.1876,0.9898,-77.5285,-5.9499,-2.2,0 0 0 0 0 0 0,-73.38,-10.49,,-4.743,,-7.739,,-2.829,,-4.806,,-29.48,,-73.38,,
9,26751202,16758590,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,2.5334,0.9645,-70.5091,0.4822,-2.2,0 0 0 0 0 0 0,-68.14,-3.776,,7.038,,-1.068,,6.03,,-7.18,,-20.37,,-68.14,,
10,26751189,6636193,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; high efficacy,-5.5,1.5579,0.9973,-93.9422,-1.0004,-2.1,0 0 0 0 0 0 0,-82.66,2.344,,-3.172,,-0.9922,,-1.498,,-5.583,,-36.01,,-82.66,,
11,26751172,746501,"NCGC",,Unspecified,,,"",2009/07/08,2,95,0.0125893,Complete curve; high efficacy,-7.9,1.5095,0.9867,-91.616,-12.716,-1.1,0 0 0 0 0 0 0,-97.83,-13.93,,-21.99,,-67,,-82.43,,-88.81,,-90.31,,-97.83,,
12,26751148,6636404,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,2.8473,0.973,-71.4651,0.3622,-2.2,0 0 0 0 0 0 0,-69.82,6.558,,1.697,,1.777,,-7.713,,-2.456,,-19.54,,-69.82,,
13,26751146,16758557,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.5095,0.9823,-73.8265,-3.2289,-2.2,0 0 0 0 0 0 0,-62.26,0.0294,,-0.6004,,-3.05,,-8.279,,-9.033,,-23.41,,-62.26,,
14,26751145,16758556,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,4.4495,0.9809,-75.6869,-3.2251,-2.2,0 0 0 0 0 0 0,-75.76,-6.835,,-5.354,,1.491,,-8.014,,1.324,,-15.96,,-75.76,,
15,26751142,16758554,"NCGC",,Unspecified,,,"",2009/07/08,2,46,1.99526,Partial curve; high efficacy,-5.7,0.8,0.9692,-103.751,-3.2896,-2.1,0 0 0 0 0 0 0,-90.33,0.7191,,2.566,,-14.92,,-11.2,,-29.38,,-52.88,,-90.33,,
16,26751140,16758553,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; partial efficacy,-5.5,2.3031,0.9958,-82.385,2.214,-2.2,0 0 0 0 0 0 0,-77.94,0.5584,,1.432,,2.68,,-0.1719,,4.92,,-25.34,,-77.94,,
17,26751139,16758552,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.16228,Partial curve; high efficacy,-5.5,1,0.9914,-104.759,-0.1993,-2.1,0 0 0 0 0 0 0,-83.8,3.193,,-1.378,,1.318,,-7.196,,-14.73,,-40.4,,-83.8,,
18,26751128,16758544,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,2.4729,0.9908,-64.3155,-1.449,-2.2,0 0 0 0 0 0 0,-61.7,2.79,,-1.793,,-2.618,,-4.301,,-0.826,,-20.82,,-61.7,,
19,26751124,16758543,"NCGC",,Unspecified,,,"",2009/07/08,2,93,0.0794328,Complete curve; high efficacy,-7.1,0.5,0.998,-107.502,9.5611,-1.1,0 0 0 0 0 0 0,-99.23,1.413,,-9.512,,-28.31,,-53.28,,-74.35,,-87.08,,-99.23,,
20,26751073,16758507,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.5936,0.9667,-87.48,4.297,-2.2,0 0 0 0 0 0 0,-72.9,-5.835,,8.428,,3.671,,11.16,,-0.1186,,-22.71,,-72.9,,
