#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp1a2-Potency_&#956;M","p450-cyp1a2-Curve_Description","p450-cyp1a2-Fit_LogAC50","p450-cyp1a2-Fit_HillSlope","p450-cyp1a2-Fit_R2","p450-cyp1a2-Fit_InfiniteActivity_%","p450-cyp1a2-Fit_ZeroActivity_%","p450-cyp1a2-Fit_CurveClass","p450-cyp1a2-Excluded_Points","p450-cyp1a2-Max_Response","p450-cyp1a2-Activity at 0.0007 uM_%","p450-cyp1a2-Activity at 0.00160 uM_%","p450-cyp1a2-Activity at 0.00368 uM_%","p450-cyp1a2-Activity at 0.00820 uM_%","p450-cyp1a2-Activity at 0.018 uM_%","p450-cyp1a2-Activity at 0.041 uM_%","p450-cyp1a2-Activity at 0.091 uM_%","p450-cyp1a2-Activity at 0.204 uM_%","p450-cyp1a2-Activity at 0.457 uM_%","p450-cyp1a2-Activity at 1.022 uM_%","p450-cyp1a2-Activity at 2.286 uM_%","p450-cyp1a2-Activity at 5.111 uM_%","p450-cyp1a2-Activity at 11.43 uM_%","p450-cyp1a2-Activity at 25.56 uM_%","p450-cyp1a2-Activity at 57.14 uM_%"
1,26751255,16758643,"NCGC",,Unspecified,,,"",2009/07/08,2,42,6.30957,Partial curve; partial efficacy,-5.2,4.5045,0.8295,-64.4663,-6.4337,-2.2,1 0 0 0 0 0 0,-60.75,-70.09,,-25.62,,-2.639,,-2.772,,3.587,,-7.093,,-60.75,,
2,17416397,875154,"NCGC",,Unspecified,,,"",2009/07/08,2,44,5.01187,Partial curve; high efficacy,-5.3,1.3437,0.9963,-112.494,12.1629,-2.1,0 0 0 0 0 0 0,-108.948,,,8.8603,,12.6804,,11.7853,,11.9782,,-23.9773,,-78.9875,,-108.948
3,17416367,1242706,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.23872,Complete curve; high efficacy,-5.65,1.5095,0.9987,-98.1672,7.2701,-1.1,0 0 0 0 0 0 0,-95.2211,,,8.0286,,8.6379,,6.6461,,-3.9458,,-46.6857,,-91.7633,,-95.2211
4,17416351,2962400,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.707946,Complete curve; high efficacy,-6.15,1,0.9974,-108.866,6.321,-1.1,0 0 0 0 0 0 0,-107.961,,,3.6118,,6.9667,,-10.0048,,-35.8712,,-83.2985,,-101.446,,-107.961
5,17416346,1184355,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.23872,Complete curve; high efficacy,-5.65,1.21,0.9996,-87.8948,2.1302,-1.1,0 0 0 0 0 0 0,-85.7457,,,2.9526,,0.7482,,0.6223,,-8.6274,,-42.9225,,-77.2954,,-85.7457
6,17416344,1367702,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1.7137,0.988,-78.0297,5.5,-2.2,0 0 0 0 0 0 0,-71.6569,,,7.9292,,7.8368,,6.7169,,3.8605,,-3.368,,-22.2033,,-71.6569
7,17416326,2840784,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.51189,Complete curve; high efficacy,-5.6,1.8851,0.9957,-99.9212,5.5397,-1.1,0 0 0 0 0 0 0,-100.81,,,2.8171,,2.3889,,9.9832,,4.1357,,-45.1415,,-91.7093,,-100.81
8,17416324,2964786,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.54813,Partial curve; high efficacy,-5.45,0.9,0.9975,-98.164,18.023,-2.1,0 0 0 0 0 0 0,-88.1751,,,21.0554,,14.4556,,13.788,,0.8253,,-26.9964,,-70.5583,,-88.1751
9,17416322,2215226,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; high efficacy,-4.8,1.8617,0.986,-94.7873,14.2226,-2.1,0 0 0 0 0 0 0,-88.1065,,,14.5096,,21.2985,,7.2576,,16.209,,7.14,,-23.6642,,-88.1065
10,17416286,2962512,"NCGC",,Unspecified,,,"",2009/07/08,2,43,6.30957,Partial curve; high efficacy,-5.2,0.9,0.9936,-96.4718,9.2143,-2.1,0 0 0 0 0 0 0,-84.5003,,,11.2141,,3.2225,,10.8529,,0.8009,,-22.2238,,-56.1819,,-84.5003
11,17416282,974002,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.07946,Partial curve; high efficacy,-5.15,1.4641,0.9951,-99.9043,4.0362,-2.1,0 0 0 0 0 0 0,-91.2306,,,2.3367,,3.539,,8.0455,,0.0168,,-11.5122,,-67.5192,,-91.2306
12,17416276,1226755,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,1,0.9861,-82.084,16.4804,-2.2,0 0 0 0 0 0 0,-64.8698,,,16.5809,,19.9345,,18.7974,,6.2734,,3.9962,,-25.9713,,-64.8698
13,17416274,2960075,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.16228,Complete curve; high efficacy,-5.5,1.3723,0.9972,-92.2739,10.5045,-1.1,0 0 0 0 0 0 0,-90.9008,,,6.4928,,14.1439,,9.5624,,4.6073,,-30.3181,,-76.3983,,-90.9008
14,17416268,734553,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.99526,Complete curve; high efficacy,-5.7,1,0.9991,-98.9376,7.6031,-1.1,0 0 0 0 0 0 0,-95.1198,,,6.0515,,6.2544,,3.4947,,-10.1473,,-49.9321,,-81.3349,,-95.1198
15,17416265,875918,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.07946,Partial curve; high efficacy,-5.15,1.4641,0.9797,-112.691,10.5942,-2.1,0 0 0 0 0 0 0,-104.296,,,3.9618,,3.6031,,14.9846,,20.3424,,-13.2195,,-73.1586,,-104.296
16,17416263,1512090,"NCGC",,Unspecified,,,"",2009/07/08,2,42,7.94328,Partial curve; partial efficacy,-5.1,1.21,0.9846,-82.6076,14.6942,-2.2,0 0 0 0 0 0 0,-74.3493,,,12.4512,,19.5349,,6.5105,,16.9363,,-4.385,,-44.1225,,-74.3493
17,17416257,881992,"NCGC",,Unspecified,,,"",2009/07/08,2,65,1.12202,Complete curve; partial efficacy,-5.95,1.6924,0.9899,-73.9814,2.9766,-1.2,0 0 0 0 0 0 0,-73.7734,,,6.1325,,6.6941,,-5.4298,,-10.0045,,-57.9123,,-71.8537,,-73.7734
18,17416251,2883112,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.54813,Complete curve; high efficacy,-5.45,1.4781,0.9896,-92.9397,3.5467,-1.1,0 0 0 0 0 0 0,-93.072,,,-0.073,,-1.3362,,8.2613,,4.7792,,-31.8672,,-76.0902,,-93.072
19,17416250,1809129,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.98107,Partial curve; high efficacy,-5.4,0.9,0.9989,-115.823,11.6664,-2.1,0 0 0 0 0 0 0,-104.783,,,11.8807,,11.7481,,4.6295,,-2.9045,,-38.1196,,-79.9372,,-104.783
20,17416238,2275138,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; partial efficacy,-5.3,1,0.9989,-84.3414,6.5,-2.2,0 0 0 0 0 0 0,-77.4439,,,5.4851,,8.4681,,4.9649,,-1.2529,,-22.9954,,-56.404,,-77.4439
21,17416234,879338,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.98107,Complete curve; high efficacy,-5.4,1.8579,0.9843,-93.0941,4.2219,-1.1,0 0 0 0 0 0 0,-92.5308,,,1.7524,,5.3122,,-3.3766,,13.0159,,-22.8454,,-80.7773,,-92.5308
22,17416231,2232899,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.12202,Complete curve; high efficacy,-5.95,1.8617,0.9798,-85.7497,4.0458,-1.1,0 0 0 0 0 0 0,-83.4949,,,4.4432,,13.2508,,-8.0168,,-8.5334,,-66.3638,,-87.8941,,-83.4949
23,17416227,2967412,"NCGC",,Unspecified,,,"",2009/07/08,2,90,0.316228,Complete curve; high efficacy,-6.5,2.1876,0.9974,-106.674,1.1328,-1.1,0 0 0 0 0 0 0,-109.19,,,4.0859,,-3.1596,,-3.7015,,-73.3025,,-102.379,,-107.599,,-109.19
24,17416218,2848444,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.54813,Complete curve; partial efficacy,-5.45,1.2475,0.9999,-71.7527,22.8167,-1.2,0 0 0 0 0 0 0,-68.6319,,,23.4794,,22.8966,,21.4838,,15.6399,,-12.3555,,-54.2304,,-68.6319
25,17416214,868554,"NCGC",,Unspecified,,,"",2009/07/08,2,42,7.94328,Partial curve; partial efficacy,-5.1,1.3443,0.9813,-80.4615,5.107,-2.2,0 0 0 0 0 0 0,-75.4738,,,3.1471,,-1.8881,,12.3859,,6.0522,,-9.2148,,-46.484,,-75.4738
26,17416204,1205039,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.41254,Complete curve; high efficacy,-5.85,1.8617,0.9987,-78.317,4.7368,-1.1,0 0 0 0 0 0 0,-80.5055,,,4.7585,,4.5148,,3.151,,-3.3133,,-53.2571,,-74.7649,,-80.5055
27,17416203,2888275,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.81838,Complete curve; high efficacy,-5.55,1.5095,0.9983,-97.0474,3.5984,-1.1,0 0 0 0 0 0 0,-95.8664,,,1.7274,,3.796,,6.9464,,-3.4927,,-39.6596,,-86.3563,,-95.8664
28,17416181,5348683,"NCGC",,Unspecified,,,"",2009/07/08,2,44,5.62341,Partial curve; high efficacy,-5.25,1,0.9961,-118.043,7.5311,-2.1,0 0 0 0 0 0 0,-106.093,,,5.2417,,9.7702,,7.4514,,-6.2019,,-25.0944,,-78.3412,,-106.093
29,17416180,720635,"NCGC",,Unspecified,,,"",2009/07/08,2,90,0.562341,Complete curve; high efficacy,-6.25,1.21,0.9975,-116.165,-0.2942,-1.1,0 0 0 0 0 0 0,-118.047,,,-2.1763,,-2.9599,,-7.1791,,-53.3711,,-95.7998,,-112.82,,-118.047
30,17416178,2891964,"NCGC",,Unspecified,,,"",2009/07/08,2,83,3.98107,Complete curve; high efficacy,-5.4,1.1341,0.9936,-85.8237,3.6168,-1.1,0 0 0 0 0 0 0,-81.3251,,,6.3393,,4.5383,,-3.7162,,-2.2551,,-26.6699,,-65.9611,,-81.3251
31,17416167,2771400,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.707946,Complete curve; high efficacy,-6.15,0.9,0.9998,-110.508,16.7127,-1.1,0 0 0 0 0 0 0,-107.565,,,16.2331,,11.3304,,-0.4181,,-35.0914,,-77.4753,,-99.6809,,-107.565
32,17416161,204385,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; high efficacy,-4.8,1.5579,0.9753,-95.0839,12.6228,-2.1,0 0 0 0 0 0 0,-83.6194,,,21.5702,,11.6657,,3.0036,,15.85,,4.2189,,-26.343,,-83.6194
33,17416159,1187421,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.58489,Complete curve; high efficacy,-5.8,1.6259,0.9894,-96.8894,-18.9204,-1.1,1 0 0 0 0 0 0,-96.7076,,,-63.805,,-24.481,,-13.4087,,-28.8216,,-69.6997,,-92.9427,,-96.7076
34,17416156,1109314,"NCGC",,Unspecified,,,"",2009/07/08,2,64,1.99526,Complete curve; partial efficacy,-5.7,1,0.9992,-82.4302,25.2976,-1.2,0 0 0 0 0 0 0,-77.2965,,,25.9593,,24.9782,,19.3049,,5.3874,,-33.9707,,-65.3833,,-77.2965
35,17416150,2218619,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.98107,Complete curve; partial efficacy,-5.4,1.4781,0.9844,-77.2285,12.1973,-1.2,0 0 0 0 0 0 0,-76.7692,,,5.8884,,7.3794,,17.1762,,14.8085,,-16.2962,,-59.7462,,-76.7692
36,17416140,1913126,"NCGC",,Unspecified,,,"",2009/07/08,2,63,2.51189,Complete curve; partial efficacy,-5.6,1.3443,0.9984,-65.4245,12.3907,-1.2,1 0 0 0 0 0 0,-64.5204,,,-10.087,,13.2936,,9.5505,,6.5728,,-25.2449,,-55.1349,,-64.5204
37,17416136,2275275,"NCGC",,Unspecified,,,"",2009/07/08,2,40,17.7828,Partial curve; partial efficacy,-4.75,1.6266,0.9767,-76.6717,9.1138,-2.2,0 0 0 0 0 0 0,-67.3212,,,14.954,,8.5335,,7.9076,,10.6295,,-2.138,,-16.6698,,-67.3212
38,17416134,2892691,"NCGC",,Unspecified,,,"",2009/07/08,2,90,0.446684,Complete curve; high efficacy,-6.35,1.111,0.9998,-111.034,1.1242,-1.1,0 0 0 0 0 0 0,-110.796,,,1.6202,,-3.1223,,-15.7996,,-56.3375,,-94.8646,,-107.532,,-110.796
39,17416132,2274681,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,2.3332,0.9314,-79.9983,-4.9077,-2.2,1 0 0 0 0 0 0,-77.005,,,-27.1422,,-17.1373,,-7.9883,,7.0719,,-2.4644,,-33.364,,-77.005
40,17416131,2892417,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; high efficacy,-4.85,1.2221,0.9943,-103.242,-2.0935,-2.1,0 0 0 0 0 0 0,-89.8237,,,-0.5273,,1.1117,,-4.0675,,-4.5506,,-15.0618,,-43.4821,,-89.8237
41,17416122,734554,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; high efficacy,-4.95,1.3437,0.9847,-100.781,6.9033,-2.1,0 0 0 0 0 0 0,-90.6223,,,3.7695,,5.0622,,3.6592,,15.5819,,-7.2338,,-46.5037,,-90.6223
42,17416115,886589,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.54813,Complete curve; high efficacy,-5.45,1.2475,0.9961,-84.7052,9.5,-1.1,0 0 0 0 0 0 0,-81.197,,,13.4272,,6.0062,,8.7241,,0.9552,,-23.3168,,-68.4995,,-81.197
43,17416113,2892377,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.398107,Complete curve; high efficacy,-6.4,1.1,0.9985,-99.5377,20.2043,-1.1,0 0 0 0 0 0 0,-97.309,,,21.5397,,14.2845,,-0.5152,,-43.4091,,-87.5845,,-95.1101,,-97.309
44,17416110,1186128,"NCGC",,Unspecified,,,"",2009/07/08,2,42,6.30957,Partial curve; partial efficacy,-5.2,1.21,0.9942,-70.4499,6.4156,-2.2,1 0 0 0 0 0 0,-64.4009,,,-16.8449,,2.4454,,7.2876,,5.9468,,-12.0284,,-44.9322,,-64.4009
45,17416103,2275069,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; high efficacy,-4.9,1.1341,0.9956,-95.5414,5.6235,-2.1,0 0 0 0 0 0 0,-80.0345,,,7.4951,,7.1045,,1.104,,5.1815,,-8.8633,,-42.2093,,-80.0345
46,17416095,2891886,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.562341,Complete curve; high efficacy,-6.25,1.331,0.9979,-95.2915,4.0363,-1.1,0 0 0 0 0 0 0,-94.966,,,5.9406,,3.6052,,-7.5862,,-37.0388,,-84.4388,,-92.6197,,-94.966
47,17416094,2244463,"NCGC",,Unspecified,,,"",2009/07/08,2,64,2.23872,Complete curve; partial efficacy,-5.65,1.8851,0.9939,-77.5364,8.5,-1.2,0 0 0 0 0 0 0,-77.947,,,8.3189,,2.5384,,11.2447,,8.0042,,-35.6733,,-73.3923,,-77.947
48,17416085,2884523,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.41254,Complete curve; high efficacy,-5.85,1.4781,0.9956,-96.8141,2.6137,-1.1,0 0 0 0 0 0 0,-97.2317,,,0.6293,,0.7462,,7.3154,,-15.189,,-64.8302,,-91.167,,-97.2317
49,17416066,734388,"NCGC",,Unspecified,,,"",2009/07/08,2,42,8.91251,Partial curve; high efficacy,-5.05,4.095,0.9821,-83.0511,1.9142,-2.1,0 0 0 0 0 0 0,-83.4116,,,3.9898,,6.8988,,7.4462,,-6.4962,,-2.3999,,-60.1678,,-83.4116
50,17416064,734555,"NCGC",,Unspecified,,,"",2009/07/08,2,43,6.30957,Partial curve; high efficacy,-5.2,1.21,0.9757,-87.5719,10.0958,-2.1,0 0 0 0 0 0 0,-81.3897,,,4.0598,,3.5844,,19.5681,,11.2569,,-14.0088,,-54.8904,,-81.3897
51,17416057,5348001,"NCGC",,Unspecified,,,"",2009/07/08,2,42,10,Partial curve; high efficacy,-5,4.9549,0.992,-111.02,9.2791,-2.1,0 0 0 0 0 0 0,-109.013,,,11.6002,,12.4924,,5.6007,,14.7081,,1.9945,,-72.4813,,-109.013
52,17416054,2885121,"NCGC",,Unspecified,,,"",2009/07/08,2,40,25.1189,Partial curve; partial efficacy,-4.6,1.5386,0.9833,-99.8875,11,-2.2,0 0 0 0 0 0 0,-75.6199,,,3.8167,,14.2513,,13.505,,15.8161,,4.7051,,-15.0006,,-75.6199
53,17416050,2960253,"NCGC",,Unspecified,,,"",2009/07/08,2,40,25.1189,Partial curve; high efficacy,-4.6,1.3437,0.9666,-114.335,11.7621,-2.1,0 0 0 0 0 0 0,-86.3685,,,8.4117,,20.5598,,8.2609,,17.3248,,-3.6479,,-17.0858,,-86.3685
54,17416045,952259,"NCGC",,Unspecified,,,"",2009/07/08,2,64,2.23872,Complete curve; partial efficacy,-5.65,1.8265,0.9923,-73.2957,16.8826,-1.2,0 0 0 0 0 0 0,-75.2465,,,22.4056,,13.0988,,12.8382,,14.624,,-30.1839,,-66.0779,,-75.2465
55,17416035,2884521,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.77828,Complete curve; high efficacy,-5.75,2.1211,0.9972,-81.2113,23.2488,-1.1,0 0 0 0 0 0 0,-83.3598,,,20.8041,,20.9657,,27.3489,,18.9029,,-43.3714,,-77.0508,,-83.3598
56,17416033,11958906,"NCGC",,Unspecified,,,"",2009/07/08,2,41,11.2202,Partial curve; partial efficacy,-4.95,1,0.9885,-88.4297,4.4358,-2.2,0 0 0 0 0 0 0,-73.6379,,,5.3131,,-1.8876,,7.6469,,2.5135,,-13.074,,-40.9376,,-73.6379
