CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL5388	100969	Serine/threonine-protein kinase tousled-like 1	Q9UKI8	SINGLE PROTEIN	Homo sapiens	135	178
CHEMBL5395	101170	Meiotic mRNA stability protein kinase SSN3	P39073	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	2	2
CHEMBL5404	101179	Serine/threonine-protein kinase tousled-like 2	Q86UE8	SINGLE PROTEIN	Homo sapiens	293	490
CHEMBL5408	100856	Serine/threonine-protein kinase TBK1	Q9UHD2	SINGLE PROTEIN	Homo sapiens	1123	2443
CHEMBL5543	101014	Dual specificity tyrosine-phosphorylation-regulated kinase 1B	Q9Y463	SINGLE PROTEIN	Homo sapiens	1063	1504
CHEMBL5285	30034	Mitogen-activated protein kinase kinase kinase 5	Q99683	SINGLE PROTEIN	Homo sapiens	440	684
CHEMBL5311	100909	Serine/threonine-protein kinase receptor R3	P37023	SINGLE PROTEIN	Homo sapiens	132	178
CHEMBL5319	100917	Epithelial discoidin domain-containing receptor 1	Q08345	SINGLE PROTEIN	Homo sapiens	176	236
CHEMBL5358	100925	Eukaryotic translation initiation factor 2-alpha kinase 4	Q9P2K8	SINGLE PROTEIN	Homo sapiens	123	160
CHEMBL5464	100990	Receptor-interacting serine/threonine-protein kinase 1	Q13546	SINGLE PROTEIN	Homo sapiens	145	323
CHEMBL5469	100995	Protein tyrosine kinase 2 beta	Q14289	SINGLE PROTEIN	Homo sapiens	1499	2133
CHEMBL5476	101204	Bone morphogenetic protein receptor type-1B	O00238	SINGLE PROTEIN	Homo sapiens	109	117
CHEMBL5490	100070	Rho-associated protein kinase 2	Q62868	SINGLE PROTEIN	Rattus norvegicus	66	77
CHEMBL5552	101231	Serine/threonine-protein kinase 25	O00506	SINGLE PROTEIN	Homo sapiens	145	187
CHEMBL5432	101188	Mitogen-activated protein kinase kinase kinase kinase 3	Q8IVH8	SINGLE PROTEIN	Homo sapiens	115	154
CHEMBL5607	101033	Rhodopsin kinase	Q15835	SINGLE PROTEIN	Homo sapiens	88	94
CHEMBL5616	101473	Activin receptor type-2A	P27037	SINGLE PROTEIN	Homo sapiens	101	139
CHEMBL5650	101269	BR serine/threonine-protein kinase 1	Q8TDC3	SINGLE PROTEIN	Homo sapiens	1285	1880
CHEMBL5659	101278	Serine/threonine-protein kinase RIO3	O14730	SINGLE PROTEIN	Homo sapiens	102	140
CHEMBL5668	101496	Serine/threonine-protein kinase SRPK2	P78362	SINGLE PROTEIN	Homo sapiens	290	495
CHEMBL5701	101506	Serine/threonine-protein kinase TAO3	Q9H2K8	SINGLE PROTEIN	Homo sapiens	278	445
CHEMBL5579	101239	Citron Rho-interacting kinase	O14578	SINGLE PROTEIN	Homo sapiens	100	139
CHEMBL6029	102667	Eukaryotic translation initiation factor 2-alpha kinase 1	Q9BQI3	SINGLE PROTEIN	Homo sapiens	179	266
CHEMBL1075275	102822	Serine/threonine-protein kinase 12	O70126	SINGLE PROTEIN	Mus musculus	1	3
CHEMBL5749	101312	Mitogen-activated protein kinase kinase kinase kinase 1	Q92918	SINGLE PROTEIN	Homo sapiens	127	167
CHEMBL5759	101538	Mitogen-activated protein kinase 4	P31152	SINGLE PROTEIN	Homo sapiens	97	136
CHEMBL5912	101607	Serine/threonine-protein kinase 32B	Q9NY57	SINGLE PROTEIN	Homo sapiens	125	166
CHEMBL4128	12913	Tyrosine-protein kinase TIE-2	Q02763	SINGLE PROTEIN	Homo sapiens	1620	2519
CHEMBL6083	101434	Receptor-interacting serine/threonine-protein kinase 4	P57078	SINGLE PROTEIN	Homo sapiens	89	95
CHEMBL2553	10929	Ribosomal protein S6 kinase alpha 1	Q15418	SINGLE PROTEIN	Homo sapiens	1097	1885
CHEMBL2793	11720	Casein kinase I alpha	P48729	SINGLE PROTEIN	Homo sapiens	1584	2014
CHEMBL1163129	103458	Serine/threonine-protein kinase SBK1	Q52WX2	SINGLE PROTEIN	Homo sapiens	82	82
CHEMBL2116	10659	AMP-activated protein kinase, alpha-2 subunit	P54646	SINGLE PROTEIN	Homo sapiens	503	919
CHEMBL2111344	105043	Platelet-derived growth factor receptor (PDGFr)	Q05030, P20786	PROTEIN FAMILY	Rattus norvegicus	54	77
CHEMBL2111355	105108	Pho80/Pho85	P17157, P20052	PROTEIN COMPLEX	Saccharomyces cerevisiae S288c	2	7
CHEMBL2111377	105067	CDC7/DBF4 (Cell division cycle 7-related protein kinase/Activator of S phase kinase)	O00311, Q9UBU7	PROTEIN COMPLEX	Homo sapiens	122	177
CHEMBL2111410	104916	Pho80/Pho85/Pho81 complex	P17157, P17442, P20052	PROTEIN COMPLEX	Saccharomyces cerevisiae S288c	1	23
CHEMBL2095217	104793	Fibroblast growth factor receptor	P11362, P22607, P21802, P22455	PROTEIN FAMILY	Homo sapiens	159	204
CHEMBL2094126	104708	Cyclin-dependent kinase 2/cyclin E	P24864, P24941, O96020	PROTEIN COMPLEX	Homo sapiens	1072	1304
CHEMBL2111324	105018	Phosphorylase kinase	Q16816, Q93100, P46020, P15735, P46019	PROTEIN COMPLEX GROUP	Homo sapiens	9	10
CHEMBL1907601	104295	Cyclin-dependent kinase 4/cyclin D1	P11802, P24385	PROTEIN COMPLEX	Homo sapiens	1006	1158
CHEMBL2111473	105000	MAP kinase p38	O08911, Q9WUI1, Q9Z1B7, P47811	PROTEIN FAMILY	Mus musculus	35	36
CHEMBL3038451	107877	AMPK alpha1/beta1/gamma2	Q13131, Q9UGJ0, Q9Y478	PROTEIN COMPLEX	Homo sapiens	1	1
CHEMBL3038516	107942	TPR/MET fusion protein	F6ZDS4, P16056	CHIMERIC PROTEIN	Mus musculus	1	4
CHEMBL2363049	105744	Epidermal growth factor receptor	P00533, P04626, P21860, Q15303	PROTEIN FAMILY	Homo sapiens	0	0
CHEMBL2558	11150	Death-associated protein kinase 1	P53355	SINGLE PROTEIN	Homo sapiens	670	1256
CHEMBL1906	10904	Serine/threonine-protein kinase RAF	P04049	SINGLE PROTEIN	Homo sapiens	1578	2328
CHEMBL2201	11048	Dual specificity mitogen-activated protein kinase kinase 4	P47809	SINGLE PROTEIN	Mus musculus	20	20
CHEMBL3142	10056	DNA-dependent protein kinase	P78527	SINGLE PROTEIN	Homo sapiens	1029	1179
CHEMBL308	12071	Cyclin-dependent kinase 1	P06493	SINGLE PROTEIN	Homo sapiens	2621	3216
CHEMBL3832	30051	ULK3 kinase	Q3U3Q1	SINGLE PROTEIN	Mus musculus	23	23
CHEMBL2610	10986	CaM kinase II beta	P08413	SINGLE PROTEIN	Rattus norvegicus	2	2
CHEMBL2634	10844	Tyrosine-protein kinase CSK	P41240	SINGLE PROTEIN	Homo sapiens	1032	1701
CHEMBL2637	11408	c-Jun N-terminal kinase 3	P53779	SINGLE PROTEIN	Homo sapiens	1764	2168
CHEMBL2689	11379	Macrophage-stimulating protein receptor	Q04912	SINGLE PROTEIN	Homo sapiens	1137	1713
CHEMBL2855	12454	Protein kinase C alpha 	P05696	SINGLE PROTEIN	Rattus norvegicus	15	17
CHEMBL3616	11617	Protein kinase C eta	P24723	SINGLE PROTEIN	Homo sapiens	932	1607
CHEMBL3650	10266	Fibroblast growth factor receptor 1	P11362	SINGLE PROTEIN	Homo sapiens	3093	3995
CHEMBL3669	20084	Glycogen synthase kinase-3 beta	P18266	SINGLE PROTEIN	Rattus norvegicus	19	36
CHEMBL3984	30033	Tyrosine- and threonine-specific cdc2-inhibitory kinase	Q99640	SINGLE PROTEIN	Homo sapiens	129	205
CHEMBL3343	11836	Tyrosine-protein kinase BLK	P16277	SINGLE PROTEIN	Mus musculus	33	33
CHEMBL3357	19623	Interleukin-1 receptor-associated kinase 1 	P51617	SINGLE PROTEIN	Homo sapiens	886	1078
CHEMBL4312	30041	Serine/threonine-protein kinase 36	Q9NRP7	SINGLE PROTEIN	Homo sapiens	104	164
CHEMBL4226	30015	Dual specificity protein kinase CLK3	P49761	SINGLE PROTEIN	Homo sapiens	740	1338
CHEMBL4246	100418	Tyrosine-protein kinase TEC	P42680	SINGLE PROTEIN	Homo sapiens	650	1231
CHEMBL4524	30044	Serine/threonine-protein kinase PAK7	Q9P286	SINGLE PROTEIN	Homo sapiens	746	1374
CHEMBL4602	30027	Ephrin type-A receptor 7	Q15375	SINGLE PROTEIN	Homo sapiens	319	548
CHEMBL4375	100789	Serine/threonine-protein kinase SRPK1	Q96SB4	SINGLE PROTEIN	Homo sapiens	1384	2001
CHEMBL4501	12944	Ribosomal protein S6 kinase 1	P23443	SINGLE PROTEIN	Homo sapiens	1801	2466
CHEMBL4851	30048	Serine/threonine-protein kinase 38-like	Q9Y2H1	SINGLE PROTEIN	Homo sapiens	130	188
CHEMBL4990	11710	MAP kinase-activated protein kinase 2	P49138	SINGLE PROTEIN	Mus musculus	3	3
CHEMBL5003	101255	Serine/threonine-protein kinase CAK1	P43568	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	2	2
CHEMBL5382	100963	RAC-beta serine/threonine-protein kinase	Q60823	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL5330	100947	Mitogen-activated protein kinase kinase kinase kinase 2	Q12851	SINGLE PROTEIN	Homo sapiens	1368	1774
CHEMBL5520	101222	Casein kinase I isoform alpha-like	Q8N752	SINGLE PROTEIN	Homo sapiens	98	130
CHEMBL5771	101550	ALK tyrosine kinase receptor	P97793	SINGLE PROTEIN	Mus musculus	6	6
CHEMBL5426	101182	Myosin light chain kinase family member 4	Q86YV6	SINGLE PROTEIN	Homo sapiens	116	155
CHEMBL5435	101191	Serine/threonine-protein kinase ULK2	Q8IYT8	SINGLE PROTEIN	Homo sapiens	253	417
CHEMBL5600	100140	Serine/threonine-protein kinase c-TAK1	P27448	SINGLE PROTEIN	Homo sapiens	1390	1851
CHEMBL1075104	103154	Leucine-rich repeat serine/threonine-protein kinase 2	Q5S007	SINGLE PROTEIN	Homo sapiens	1006	2295
CHEMBL5785	101333	Interferon-induced, double-stranded RNA-activated protein kinase	P19525	SINGLE PROTEIN	Homo sapiens	222	268
CHEMBL5809	101339	Mitogen-activated protein kinase 3	P21708	SINGLE PROTEIN	Rattus norvegicus	5	5
CHEMBL5810	101340	Ephrin type-A receptor 1	P21709	SINGLE PROTEIN	Homo sapiens	347	563
CHEMBL5568	101019	Proto-oncogene tyrosine-protein kinase ROS	P08922	SINGLE PROTEIN	Homo sapiens	1242	1842
CHEMBL5940	101612	Serine/threonine-protein kinase MARK1	Q9P0L2	SINGLE PROTEIN	Homo sapiens	753	1352
CHEMBL1075225	102924	Tyrosine-protein kinase JAK2	Q62689	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL5970	101399	Mitogen-activated protein kinase kinase kinase 3	Q99759	SINGLE PROTEIN	Homo sapiens	108	115
CHEMBL1075255	102963	Casein kinase II subunit alpha	P40231	SINGLE PROTEIN	Schizosaccharomyces pombe 972h-	1	1
CHEMBL6054	102399	PAS domain-containing serine/threonine-protein kinase	Q96RG2	SINGLE PROTEIN	Homo sapiens	634	1176
CHEMBL1163117	103446	Cyclin-dependent kinase-like 3	Q8IVW4	SINGLE PROTEIN	Homo sapiens	84	90
CHEMBL1163123	103452	Mitogen-activated protein kinase kinase kinase 6	O95382	SINGLE PROTEIN	Homo sapiens	86	92
CHEMBL5888	101365	Mitogen-activated protein kinase kinase kinase 14	Q99558	SINGLE PROTEIN	Homo sapiens	57	73
CHEMBL6144	102447	G protein-coupled receptor kinase 6	P43250	SINGLE PROTEIN	Homo sapiens	551	1090
CHEMBL1075295	102846	Protein kinase C theta type	Q02111	SINGLE PROTEIN	Mus musculus	4	4
CHEMBL2873	11873	Mitogen-activated protein kinase kinase kinase 10	Q02779	SINGLE PROTEIN	Homo sapiens	161	201
CHEMBL2111328	105023	Inhibitor of NF-kappa-B kinase (IKK)	O15111, O14920, Q9Y6K9	PROTEIN COMPLEX	Homo sapiens	22	55
CHEMBL2111356	105109	Mitogen-activated protein kinase 1 and 3 (ERK2 and ERK1)	P63086, P21708	PROTEIN FAMILY	Rattus norvegicus	5	11
CHEMBL2111391	105086	Fibroblast growth factor receptor	Q03142, Q61851, P16092, P21803	PROTEIN FAMILY	Mus musculus	37	37
CHEMBL2111439	104955	VEGF-receptor 2 and Fibroblast growth factor receptor 1	P11362, P35968	PROTEIN FAMILY	Homo sapiens	50	50
CHEMBL2111446	104963	cAMP-dependent protein kinase A	P00517, P05131, P31322, P00515	PROTEIN COMPLEX GROUP	Bos taurus	29	41
CHEMBL2093867	104683	Protein kinase C (PKC)	Q05513, Q02156, O94806, Q05655, P05771, P41743, Q15139, P24723, P05129, P17252, Q04759	PROTEIN FAMILY	Homo sapiens	474	611
CHEMBL2094266	104731	Protein kinase C (PKC)	P09215, Q9WTQ0, Q64617, P05696, P09217, P68403, P09216, P63319	PROTEIN FAMILY	Rattus norvegicus	241	298
CHEMBL2097164	104875	CaM kinase II	Q9UQM7, Q13554, Q13557, Q13555	PROTEIN FAMILY	Homo sapiens	142	149
CHEMBL3301390	108404	JAK1/JAK2/TYK2	P23458, O60674, P29597	PROTEIN COMPLEX	Homo sapiens	5	5
CHEMBL2375201	107581	Tyrosine-protein kinase transmembrane receptor ROR2	Q01974	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL3038494	107920	Casein kinase I delta/epsilon	P48730, P49674	PROTEIN COMPLEX	Homo sapiens	12	12
CHEMBL1913	197	Platelet-derived growth factor receptor beta	P09619	SINGLE PROTEIN	Homo sapiens	2311	3371
CHEMBL3183	12264	cGMP-dependent protein kinase 1 alpha	P00516	SINGLE PROTEIN	Bos taurus	33	35
CHEMBL267	10434	Tyrosine-protein kinase SRC	P12931	SINGLE PROTEIN	Homo sapiens	5642	7434
CHEMBL2336	12536	MAP kinase p38 alpha	P47811	SINGLE PROTEIN	Mus musculus	219	252
CHEMBL2428	10250	Myosin light chain kinase, smooth muscle	Q15746	SINGLE PROTEIN	Homo sapiens	432	704
CHEMBL3045	11636	Protein kinase C beta	P05771	SINGLE PROTEIN	Homo sapiens	1173	3207
CHEMBL3094	11105	MAP kinase-activated protein kinase 5	Q8IW41	SINGLE PROTEIN	Homo sapiens	1580	2271
CHEMBL3839	11329	Fibroblast growth factor receptor 4	Q03142	SINGLE PROTEIN	Mus musculus	5	5
CHEMBL3863	10903	Protein kinase C mu	Q15139	SINGLE PROTEIN	Homo sapiens	876	1572
CHEMBL2598	10901	Protein kinase C iota	P41743	SINGLE PROTEIN	Homo sapiens	1150	1731
CHEMBL2654	12345	cAMP-dependent protein kinase alpha-catalytic subunit	P00517	SINGLE PROTEIN	Bos taurus	43	43
CHEMBL2791	11713	Neurotrophic tyrosine kinase receptor type 3	Q6VNS1	SINGLE PROTEIN	Mus musculus	4	19
CHEMBL2801	11622	CaM kinase II delta	Q13557	SINGLE PROTEIN	Homo sapiens	1462	2109
CHEMBL2850	11017	Glycogen synthase kinase-3 alpha	P49840	SINGLE PROTEIN	Homo sapiens	2125	2778
CHEMBL3956	12276	Mitogen-activated protein kinase kinase kinase 1	Q13233	SINGLE PROTEIN	Homo sapiens	119	130
CHEMBL3960	12412	Fibroblast growth factor receptor 1	P16092	SINGLE PROTEIN	Mus musculus	17	23
CHEMBL3982	30007	Tyrosine-protein kinase FER	P16591	SINGLE PROTEIN	Homo sapiens	1188	1805
CHEMBL4079	10711	G-protein coupled receptor kinase 2	P25098	SINGLE PROTEIN	Homo sapiens	169	194
CHEMBL3390	12394	cAMP-dependent protein kinase alpha-catalytic subunit	P27791	SINGLE PROTEIN	Rattus norvegicus	39	47
CHEMBL3476	10751	Inhibitor of nuclear factor kappa B kinase alpha subunit	O15111	SINGLE PROTEIN	Homo sapiens	1409	2658
CHEMBL3582	10878	Protein kinase C epsilon	Q02156	SINGLE PROTEIN	Homo sapiens	756	1091
CHEMBL4125	11049	Platelet-derived growth factor receptor beta	Q05030	SINGLE PROTEIN	Rattus norvegicus	22	22
CHEMBL4134	30010	Ephrin type-A receptor 8	P29322	SINGLE PROTEIN	Homo sapiens	319	552
CHEMBL4223	30012	Tyrosine-protein kinase FRK	P42685	SINGLE PROTEIN	Homo sapiens	1162	1778
CHEMBL4309	30038	Serine/threonine-protein kinase NEK6	Q9HC98	SINGLE PROTEIN	Homo sapiens	835	1467
CHEMBL4577	100853	Homeodomain-interacting protein kinase 3	Q9H422	SINGLE PROTEIN	Homo sapiens	335	527
CHEMBL4601	30026	Tyrosine-protein kinase BRK	Q13882	SINGLE PROTEIN	Homo sapiens	1274	1901
CHEMBL4439	13004	TGF-beta receptor type I	P36897	SINGLE PROTEIN	Homo sapiens	1129	2301
CHEMBL4482	100080	Serine/threonine-protein kinase PAK 4	O96013	SINGLE PROTEIN	Homo sapiens	1633	1931
CHEMBL5084	101058	Casein kinase I isoform gamma-3	Q9Y6M4	SINGLE PROTEIN	Homo sapiens	1176	1766
CHEMBL5213	100103	Cell division control protein 28	P00546	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	7	8
CHEMBL4885	19650	cAMP-dependent protein kinase alpha-catalytic subunit	Q95J97	SINGLE PROTEIN	Oryctolagus cuniculus	26	26
CHEMBL4896	100411	PDZ-binding kinase	Q96KB5	SINGLE PROTEIN	Homo sapiens	613	624
CHEMBL4898	100413	Neurotrophic tyrosine kinase receptor type 2	Q16620	SINGLE PROTEIN	Homo sapiens	1713	2336
CHEMBL5024	20139	Serine-protein kinase ATR	Q13535	SINGLE PROTEIN	Homo sapiens	152	217
CHEMBL5025	20155	Tyrosine-protein kinase TEC	Q8CFK4	SINGLE PROTEIN	Mus musculus	21	31
CHEMBL5044	101045	Serine/threonine-protein kinase Nek5	Q6P3R8	SINGLE PROTEIN	Homo sapiens	95	134
CHEMBL5260	101130	Serine/threonine-protein kinase TNNI3K	Q59H18	SINGLE PROTEIN	Homo sapiens	100	138
CHEMBL5148	100131	Casein kinase I alpha	Q8BK63	SINGLE PROTEIN	Mus musculus	3	3
CHEMBL5314	100912	Tyrosine-protein kinase receptor TYRO3	Q06418	SINGLE PROTEIN	Homo sapiens	1736	2402
CHEMBL5320	100918	Myotonin-protein kinase	Q09013	SINGLE PROTEIN	Homo sapiens	317	523
CHEMBL5455	100069	Tyrosine-protein kinase FES	P07332	SINGLE PROTEIN	Homo sapiens	1212	1816
CHEMBL5466	100992	Activin receptor type-2B	Q13705	SINGLE PROTEIN	Homo sapiens	105	143
CHEMBL5486	101214	Insulin receptor	P15127	SINGLE PROTEIN	Rattus norvegicus	874	1748
CHEMBL5491	100098	Serine/threonine-protein kinase WEE1	P30291	SINGLE PROTEIN	Homo sapiens	523	914
CHEMBL5416	100976	PITSLRE serine/threonine-protein kinase CDC2L2	Q9UQ88	SINGLE PROTEIN	Homo sapiens	95	134
CHEMBL5429	101185	Ribosomal protein S6 kinase beta-1	Q8BSK8	SINGLE PROTEIN	Mus musculus	1	2
CHEMBL5708	101513	Tyrosine-protein kinase transforming protein FPS	P00530	SINGLE PROTEIN	Fujinami sarcoma virus	1	1
CHEMBL5784	101332	NUAK family SNF1-like kinase 1	O60285	SINGLE PROTEIN	Homo sapiens	815	1406
CHEMBL1075163	103102	Serine/threonine-protein kinase haspin	Q8TF76	SINGLE PROTEIN	Homo sapiens	219	378
CHEMBL1075166	103105	Beta-adrenergic receptor kinase 2	P35626	SINGLE PROTEIN	Homo sapiens	21	28
CHEMBL5838	102678	Receptor tyrosine-protein kinase erbB-3	P21860	SINGLE PROTEIN	Homo sapiens	95	101
CHEMBL1075222	102920	Protein-tyrosine kinase 2-beta	P70600	SINGLE PROTEIN	Rattus norvegicus	3	3
CHEMBL5975	101404	Serine/threonine-protein kinase RIO1	Q9BRS2	SINGLE PROTEIN	Homo sapiens	107	149
CHEMBL1075195	103140	Serine/threonine-protein kinase TAO2	Q9UL54	SINGLE PROTEIN	Homo sapiens	287	453
CHEMBL1075288	102839	Focal adhesion kinase 1	P34152	SINGLE PROTEIN	Mus musculus	5	5
CHEMBL6151	102778	Serine/threonine-protein kinase 31	Q9BXU1	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL6166	101464	Mitogen-activated protein kinase kinase kinase kinase 4	O95819	SINGLE PROTEIN	Homo sapiens	1607	2073
CHEMBL4900	100415	Serine/threonine-protein kinase D2	Q9BZL6	SINGLE PROTEIN	Homo sapiens	1564	2165
CHEMBL3836	30018	LIM domain kinase 1	P53667	SINGLE PROTEIN	Homo sapiens	1208	1497
CHEMBL2096667	104822	c-Jun N-terminal kinase, JNK	P45983, P45984, P53779	PROTEIN FAMILY	Homo sapiens	238	243
CHEMBL2111326	105020	Cyclln-dependent kinase 2 and 4 (CDK2 and CDK4)	P24941, P11802	SELECTIVITY GROUP	Homo sapiens	15	20
CHEMBL2111382	105074	Ca2+/calmodulin-dependent protein kinase II (CaM kinase II)	P08413, P11275, P11730, P15791	PROTEIN FAMILY	Rattus norvegicus	57	57
CHEMBL2111431	104942	Epidermal growth factor receptor and ErbB2 (HER1 and HER2)	P00533, P04626	PROTEIN FAMILY	Homo sapiens	165	180
CHEMBL2095227	104799	Vascular endothelial growth factor receptor	P35968, P17948, P35916	PROTEIN FAMILY	Homo sapiens	232	245
CHEMBL2095188	104772	Glycogen synthase kinase-3	P49840, P49841	PROTEIN FAMILY	Homo sapiens	443	496
CHEMBL2095189	104773	Platelet-derived growth factor receptor	P09619, P16234	PROTEIN COMPLEX	Homo sapiens	439	471
CHEMBL2095942	104808	Cyclin-dependent kinase 4/cyclin D	P30279, P30281, P24385, P11802	PROTEIN COMPLEX	Homo sapiens	158	167
CHEMBL2094115	104697	MAP kinase p38	P53778, Q15759, O15264, Q16539	PROTEIN FAMILY	Homo sapiens	578	948
CHEMBL2111289	104912	Dual specificity mitogen-activated protein kinase kinase; MEK1/2	P36507, Q02750	PROTEIN FAMILY	Homo sapiens	100	167
CHEMBL1907602	104296	Cyclin-dependent kinase 1/cyclin B1	P14635, P06493	PROTEIN COMPLEX	Homo sapiens	623	731
CHEMBL3108655	108015	Serine/threonine-protein kinase Nek10	Q6ZWH5	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL3301559	108432	Mitogen-activated protein kinase	Q25917	SINGLE PROTEIN	Plasmodium falciparum	400	400
CHEMBL3301392	108406	JAK2/TYK2	O60674, P29597	PROTEIN COMPLEX	Homo sapiens	5	10
CHEMBL3038470	107896	CDK2/Cyclin A1	P24941, P78396	PROTEIN COMPLEX	Homo sapiens	2	3
CHEMBL3038472	107898	CDK4/Cyclin D3	P11802, P30281	PROTEIN COMPLEX	Homo sapiens	2	2
CHEMBL3038474	107900	CDK8/Cyclin C	P49336, P24863	PROTEIN COMPLEX	Homo sapiens	1	1
CHEMBL3038502	107928	JNK2/JNK3	P45984, P53779	PROTEIN FAMILY	Homo sapiens	1	1
