AAKJLRGGTJKAMG-UHFFFAOYSA-N	Erlotinib	COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC
AAOVKJBEBIDNHE-UHFFFAOYSA-N	diazepam	CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	butenafine	CN(Cc1ccc(cc1)C(C)(C)C)Cc2cccc3ccccc23
ACGDKVXYNVEAGU-UHFFFAOYSA-N	guanethidine	C1CCCN(CCC1)CCN=C(N)N
ACGUYXCXAPNIKK-UHFFFAOYSA-N	hexachlorophene	Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl
ACSIXWWBWUQEHA-UHFFFAOYSA-N	Clodronic Acid	C(P(=O)(O)O)(P(=O)(O)O)(Cl)Cl
ADEBPBSSDYVVLD-UHFFFAOYSA-N	donepezil	COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC
AELCINSCMGFISI-DTWKUNHWSA-N	tranylcypromine	N[C@@H]1C[C@H]1c2ccccc2
AELCINSCMGFISI-UHFFFAOYSA-N	tranylcypromine	NC1CC1c2ccccc2
AELCINSCMGFISI-YGPZHTELSA-N	tranylcypromine	C1C(C1N)C2=CC=CC=C2
AFCGFAGUEYAMAO-UHFFFAOYSA-N	Acamprosate	CC(=O)NCCCS(=O)(=O)O
AGOYDEPGAOXOCK-KCBOHYOISA-N	clarithromycin	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC
AHLBNYSZXLDEJQ-FWEHEUNISA-N	orlistat	CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O
AHLPHDHHMVZTML-BYPYZUCNSA-N	SCHEMBL11234899	[H+].C(CC(C(=O)[O-])N)CN
AHOUBRCZNHFOSL-YOEHRIQHSA-N	paroxetine	Fc1ccc(cc1)[C@@H]2CCNC[C@H]2COc3ccc4OCOc4c3
AJXPJJZHWIXJCJ-UHFFFAOYSA-N	METHSUXIMIDE	CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2
ALFGKMXHOUSVAD-UHFFFAOYSA-N	Ketobemidone	CCC(=O)C1(CCN(CC1)C)C2=CC(=CC=C2)O
AMKVXSZCKVJAGH-UHFFFAOYSA-N	naratriptan	CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C
ANTSCNMPPGJYLG-UHFFFAOYSA-N	Chlordiazepoxide	CNC1=Nc2ccc(Cl)cc2C(=[N+]([O-])C1)c3ccccc3
AQCHWTWZEMGIFD-UHFFFAOYSA-N	metolazone	CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl
ATALOFNDEOCMKK-OITMNORJSA-N	Aprepitant	C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F
ATEBXHFBFRCZMA-VXTBVIBXSA-N	rifabutin	CC1C=CC=C(C(=O)NC2=C3C(=NC4(N3)CCN(CC4)CC(C)C)C5=C6C(=C(C(=C5C2=O)O)C)OC(C6=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C
ATXHVCQZZJYMCF-XUDSTZEESA-N	allylestrenol	CC12CCC3C(C1CCC2(CC=C)O)CCC4=CCCCC34
AUNGANRZJHBGPY-SCRDCRAPSA-N	riboflavin	CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O
AUYYCJSJGJYCDS-GFCCVEGCSA-N	liothyronine	[O-]C(=O)[C@@H](Cc1cc(I)c(c(c1)I)Oc1ccc(c(c1)I)O)[NH3+]
AUYYCJSJGJYCDS-LBPRGKRZSA-N	liothyronine	N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
AUZONCFQVSMFAP-UHFFFAOYSA-N	disulfiram	CCN(CC)C(=S)SSC(=S)N(CC)CC
AXOIZCJOOAYSMI-UHFFFAOYSA-N	succinylcholine	C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
AYUNIORJHRXIBJ-TXHRRWQRSA-N	tanespimycin	CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O
BDSYKGHYMJNPAB-YKQIDFLYSA-N	Ultravate	CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)CCl
BENFXAYNYRLAIU-QSVFAHTRSA-N	Terlipressin	C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)NC(=O)CNC(=O)CNC(=O)CN)C(=O)NC(CCCCN)C(=O)NCC(=O)N
BFYIZQONLCFLEV-DAELLWKTSA-N	exemestane	C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O
BGDKAVGWHJFAGW-UHFFFAOYSA-N	tropicamide	CCN(Cc1ccncc1)C(=O)C(CO)c2ccccc2
BGRJTUBHPOOWDU-NSHDSACASA-N	sulpiride	CCN1CCC[C@H]1CNC(=O)c2cc(ccc2OC)S(=O)(=O)N
BGRJTUBHPOOWDU-UHFFFAOYSA-N	sulpiride	CCN1CCCC1CNC(=O)c2cc(ccc2OC)S(=O)(=O)N
BGSZAXLLHYERSY-XQIGCQGXSA-N	Vecuronium	CC(=O)OC1CC2CCC3C(C2(CC1N4CCCCC4)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C
BHQCQFFYRZLCQQ-OELDTZBJSA-N	chenodeoxycholic_acid	C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
BJFGVYCULWBXKF-UHFFFAOYSA-M	[3-(carbamoylamino)-2-methoxypropyl]mercury(1+) chloride	COC(CNC(=O)N)C[Hg+].[Cl-]
BJOLKYGKSZKIGU-UHFFFAOYSA-N	Echothiophate	CCOP(=O)(OCC)SCC[N+](C)(C)C
BLCLNMBMMGCOAS-URPVMXJPSA-N	goserelin	CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6
BLMPQMFVWMYDKT-NZTKNTHTSA-N	Carfilzomib	CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4
BLXXJMDCKKHMKV-UHFFFAOYSA-N	nabumetone	COc1ccc2cc(CCC(=O)C)ccc2c1
BMQGVNUXMIRLCK-OAGWZNDDSA-N	CABAZITAXEL	CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC
BOCUKUHCLICSIY-UHFFFAOYSA-N	cyclothiazide	C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl
BPZSYCZIITTYBL-UHFFFAOYSA-N	formoterol	CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O
BPZSYCZIITTYBL-YJYMSZOUSA-N	Arformoterol	COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1
BQIPXWYNLPYNHW-UHFFFAOYSA-N	Metipranolol	CC1=CC(=C(C(=C1OC(=O)C)C)C)OCC(CNC(C)C)O
BQJCRHHNABKAKU-KBQPJGBKSA-N	morphine	CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O)c35
BSYNRYMUTXBXSQ-UHFFFAOYSA-M	acetylsalicylic_acid	CC(=O)Oc1ccccc1C(=O)[O-]
BSYNRYMUTXBXSQ-UHFFFAOYSA-N	acetylsalicylic_acid	CC(=O)Oc1ccccc1C(=O)O
BTFHLQRNAMSNLC-UHFFFAOYSA-N	clorgiline	CN(CCCOc1ccc(Cl)cc1Cl)CC#C
BUGYDGFZZOZRHP-UHFFFAOYSA-N	memantine	CC12CC3CC(C)(C1)CC(N)(C3)C2
BVPWJMCABCPUQY-UHFFFAOYSA-N	clebopride	COc1cc(N)c(Cl)cc1C(=O)NC2CCN(Cc3ccccc3)CC2
BYPFEZZEUUWMEJ-UHFFFAOYSA-N	pentoxifylline	CN1C(=O)N(CCCCC(=O)C)C(=O)c2c1ncn2C
CBGUOGMQLZIXBE-XGQKBEPLSA-N	clobetasol	CCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CCl
CBVCZFGXHXORBI-PXQQMZJSSA-N	indinavir	CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc3ccccc3)C(=O)N[C@@H]4[C@H](O)Cc5ccccc45
CEMAWMOMDPGJMB-UHFFFAOYSA-N	oxprenolol	CC(C)NCC(O)COc1ccccc1OCC=C
CESYKOGBSMNBPD-UHFFFAOYSA-N	methyclothiazide	CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl
CEUORZQYGODEFX-UHFFFAOYSA-N	Aripiprazole	Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl
CFOYWRHIYXMDOT-UHFFFAOYSA-N	carbimazole	CCOC(=O)N1C=CN(C1=S)C
CHBRHODLKOZEPZ-UHFFFAOYSA-N	clotiazepam	CCC1=CC2=C(S1)N(C(=O)CN=C2C3=CC=CC=C3Cl)C
CHPZKNULDCNCBW-UHFFFAOYSA-N	dinitrooxygallanyl nitrate	[N+](=O)([O-])O[Ga](O[N+](=O)[O-])O[N+](=O)[O-]
CIWBSHSKHKDKBQ-JLAZNSOCSA-N	ascorbic_acid	C(C(C1C(=C(C(=O)O1)O)O)O)O
CLKOFPXJLQSYAH-ABRJDSQDSA-N	bacitracin	CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCCC(C(=O)NC(C(=O)N1)CCCN)NC(=O)C(C(C)CC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C2CSC(=N2)C(C(C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4
CMWTZPSULFXXJA-VIFPVBQESA-N	naproxen	COc1ccc2cc(ccc2c1)[C@H](C)C(=O)O
CNIIGCLFLJGOGP-UHFFFAOYSA-O	naphazoline	C1CNC(=[NH+]1)Cc1cccc2c1cccc2
COKMIXFXJJXBQG-NRFANRHFSA-N	ZINC03806104	CCCCS(=O)(=O)N[C@H](C(=O)[O-])Cc1ccc(cc1)OCCCCC1CC[NH2+]CC1
COLNVLDHVKWLRT-QMMMGPOBSA-N	L-phenylalanine	[NH3+][C@H](C(=O)[O-])Cc1ccccc1
COVZYZSDYWQREU-UHFFFAOYSA-N	busulfan	CS(=O)(=O)OCCCCOS(=O)(=O)C
CPZBLNMUGSZIPR-DOTOQJQBSA-N	Onicit	C1CC2CN(C(=O)C3=C2C(=CC=C3)C1)C4CN5CCC4CC5
CQXADFVORZEARL-UHFFFAOYSA-O	rilmenidine	C1COC(=[NH+]1)NC(C1CC1)C1CC1
CSDTZUBPSYWZDX-UHFFFAOYSA-N	Pentyl nitrite	CCCCCON=O
CSNNHWWHGAXBCP-UHFFFAOYSA-L	MAGNESIUM SULFATE	[O-]S(=O)(=O)[O-].[Mg+2]
CTETYYAZBPJBHE-UHFFFAOYSA-N	haloprogin	Clc1cc(Cl)c(OCC#CI)cc1Cl
CTRLABGOLIVAIY-UHFFFAOYSA-N	OXCARBAZEPINE	NC(=O)N1c2ccccc2CC(=O)c3ccccc13
CTSPAMFJBXKSOY-UHFFFAOYSA-N	ellipticine	Cc1c2ccncc2c(C)c3c4ccccc4[nH]c13
CUHVIMMYOGQXCV-NSHDSACASA-N	DEXMEDETOMIDINE	CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C
CUIHSIWYWATEQL-UHFFFAOYSA-N	Pazopanib	CN(c1ccc2c(C)n(C)nc2c1)c3ccnc(Nc4ccc(C)c(c4)S(=O)(=O)N)n3
CURUTKGFNZGFSE-UHFFFAOYSA-N	dicycloverine	CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2
CVBMAZKKCSYWQR-WCGOZPBSSA-N	beta-escin	COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=CC=CC=C45)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
CVSVTCORWBXHQV-UHFFFAOYSA-N	creatine	CN(CC(=O)[O-])C(=N)[NH3+]
CWVRJTMFETXNAD-JUHZACGLSA-N	chlorogenic_acid	O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)C(=O)O
CXOFVDLJLONNDW-UHFFFAOYSA-N	phenytoin	O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3
CXOXHMZGEKVPMT-UHFFFAOYSA-N	Clobazam	CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
CXYRUNPLKGGUJF-JIRGPDKYSA-M	Pamine	C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4)C.[Br-]
CYLWJCABXYDINA-UHFFFAOYSA-N	polythiazide	CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CSCC(F)(F)F
CYQFCXCEBYINGO-IAGOWNOFSA-N	Dronabinol	CCCCCc1cc(O)c2[C@@H]3C=C(C)CC[C@H]3C(C)(C)Oc2c1
CYXKNKQEMFBLER-UHFFFAOYSA-N	perhexiline	C(C(C1CCCCC1)C2CCCCC2)C3CCCCN3
CZFFBEXEKNGXKS-UHFFFAOYSA-N	Raltegravir	CN1C(=O)C(=C(N=C1C(C)(C)NC(=O)c2oc(C)nn2)C(=O)NCc3ccc(F)cc3)O
CZQHHVNHHHRRDU-UHFFFAOYSA-N	LY-294002	O=C1C=C(Oc2c1cccc2c3ccccc3)N4CCOCC4
CZUMMMDKQYRZDP-JCAXBLPDSA-N	iloprost	CC#CCC(C)C(C=CC1C(CC2C1CC(=CCCCC(=O)OCC(=O)C3=CC=CC=C3)C2)O)O
DANYIYRPLHHOCZ-UHFFFAOYSA-N	acacetin	COc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)cc3O2
DBABZHXKTCFAPX-UHFFFAOYSA-N	probenecid	CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)O
DBEPLOCGEIEOCV-WSBQPABSSA-N	finasteride	CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
DBGIVFWFUFKIQN-VIFPVBQESA-N	(S)-Fenfluramine	CCN[C@@H](C)Cc1cccc(c1)C(F)(F)F
DBVJJBKOTRCVKF-UHFFFAOYSA-N	etidronic_acid	CC(O)(P(=O)(O)O)P(=O)(O)O
DCCSDBARQIPTGU-HSZRJFAPSA-N	Fesoterodine	CC(C)C(=O)OC1=C(C=C(C=C1)CO)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2
DCOPUUMXTXDBNB-UHFFFAOYSA-N	diclofenac	OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl
DCSUBABJRXZOMT-IRLDBZIGSA-N	cisapride	COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F
DCSUBABJRXZOMT-UHFFFAOYSA-N	cisapride	COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c3cc(Cl)c(N)cc3OC
DCXYFEDJOCDNAF-REOHCLBHSA-N	L-beta-asparagine	C(C(C(=O)[O-])[NH3+])C(=O)N
DDBREPKUVSBGFI-UHFFFAOYSA-N	phenobarbital	CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2
DDLIGBOFAVUZHB-UHFFFAOYSA-N	midazolam	Cc1ncc2CN=C(c3ccccc3F)c4cc(Cl)ccc4n12
DDUHZTYCFQRHIY-RBHXEPJQSA-N	griseofulvin	COC1=CC(=O)C[C@@H](C)[C@]12Oc3c(Cl)c(OC)cc(OC)c3C2=O
