GeneIndex	SideEffectIndex	Target	UMLS_CUI	SE_name	EF	Pvalue	Qvalue	ChiSquare	FunctionalAnnotation
20	3753	ABCB1	C0038362	Stomatitis	3.44	7.5e-08	0.00062	28.9	Binding
20	149	ABCB1	C0002170	Alopecia	2.91	2.6e-06	0.012	22.1	Antagonist
20	1919	ABCB1	C0020473	Hyperlipidaemia	6.09	8.8e-11	7.7e-07	42.1	Binding
20	2824	ABCB1	C0028949	Oligomenorrhoea	4.74	7.4e-08	0.00061	28.9	Binding
20	203	ABCB1	C0002994	Angioedema	3.3	2.9e-06	0.022	21.9	Binding
20	149	ABCB1	C0002170	Alopecia	2.93	4.3e-10	3.7e-06	39	Binding
20	2571	ABCB1	C0333355	Mucosal inflammation	5.22	6.8e-09	5.7e-05	33.6	Binding
20	389	ABCB1	C0004509	Azoospermia	5.73	5.4e-10	4.6e-06	38.5	Binding
38	3866	ABCC8	C0040034	Thrombocytopenia	4.87	3.9e-08	0.00032	30.2	Binding
38	2309	ABCC8	C0023530	Leukopenia	5.75	6.3e-11	5.5e-07	42.7	Binding
38	1934	ABCC8	C0020517	Hypersensitivity	5.04	4.7e-23	4.5e-19	97.8	Binding
38	3364	ABCC8	C0015230	Rash	3.71	1e-05	0.046	19.5	Antagonist
38	3364	ABCC8	C0015230	Rash	3.01	1.2e-07	0.00097	28	Binding
38	1934	ABCC8	C0020517	Hypersensitivity	5.37	1.1e-11	5.4e-08	46.2	Antagonist
39	1934	ABCC9	C0020517	Hypersensitivity	5.37	1.8e-16	1.7e-12	67.8	Binding
49	167	ABCG2	C0002871	Anaemia	3.76	3.1e-06	0.024	21.8	Binding
49	3866	ABCG2	C0040034	Thrombocytopenia	3.45	4.2e-07	0.0034	25.6	Binding
1724	203	ACE	C0002994	Angioedema	16.06	4e-54	3.9e-50	240	Binding
1724	1005	ACE	C0010200	Cough	10.57	2.8e-45	2.8e-41	199.4	Binding
1724	2928	ACE	C0030252	Palpitations	3.51	2.8e-07	0.0023	26.4	Binding
1724	2938	ACE	C0030305	Pancreatitis	8.8	4e-15	3.7e-11	61.7	Binding
1724	1005	ACE	C0010200	Cough	10.28	6.7e-20	3.4e-16	83.4	Antagonist
1724	1216	ACE	C0013378	Dysgeusia	4.59	1.5e-07	0.0013	27.5	Binding
76	3525	ACHE	C0037036	Salivary hypersecretion	7.27	7.9e-29	7.6e-25	124.1	Binding
76	1143	ACHE	C0011991	Diarrhoea	1.99	1e-06	0.0082	23.9	Binding
76	2679	ACHE	C0027497	Nausea	1.71	1.8e-06	0.014	22.8	Binding
76	3525	ACHE	C0037036	Salivary hypersecretion	7.53	3.7e-15	1.8e-11	61.9	Antagonist
171	2928	ADORA2A	C0030252	Palpitations	4.34	1.8e-10	1.6e-06	40.6	Binding
171	200	ADORA2A	C0002962	Angina pectoris	7.15	6.7e-12	5.9e-08	47.1	Binding
171	1524	ADORA2A	C0016382	Flushing	4.06	5.3e-09	4.5e-05	34.1	Binding
172	2928	ADORA2B	C0030252	Palpitations	5.91	2.7e-11	2.4e-07	44.4	Binding
179	2662	ADRA1A	C0027424	Nasal congestion	2.52	1.1e-07	0.00052	28.2	Antagonist
179	2662	ADRA1A	C0027424	Nasal congestion	2.64	7.5e-17	7e-13	69.5	Binding
179	2662	ADRA1A	C0027424	Nasal congestion	4.84	1.8e-07	0.00014	27.2	Agonist
179	1655	ADRA1A	C0340274	Gestational hypertension	5.87	4.6e-13	4.1e-09	52.4	Binding
179	1268	ADRA1A	C0235969	Ejaculation disorder	3.57	6.6e-08	0.00032	29.2	Antagonist
179	2928	ADRA1A	C0030252	Palpitations	1.99	2.8e-11	2.5e-07	44.3	Binding
179	1483	ADRA1A	C0015726	Fear	8.83	2.3e-38	2.2e-34	167.8	Binding
179	595	ADRA1A	C0428977	Bradycardia	2.76	4.1e-06	0.0031	21.2	Agonist
179	244	ADRA1A	C0003467	Anxiety	3.03	1.5e-05	0.011	18.7	Agonist
179	4135	ADRA1A	C0085612	Ventricular arrhythmia	4.16	2.3e-09	1.9e-05	35.7	Binding
179	2161	ADRA1A	C0917801	Insomnia	1.59	4.7e-07	0.0038	25.4	Binding
179	3779	ADRA1A	C0011071	Sudden death	9.22	1e-17	9.6e-14	73.5	Binding
179	1240	ADRA1A	C0013428	Dysuria	1.9	5.1e-07	0.0041	25.2	Binding
179	3293	ADRA1A	C0033975	Psychotic disorder	3.01	1.7e-05	0.012	18.5	Agonist
179	1219	ADRA1A	C0013384	Dyskinesia	2.91	6.7e-11	5.8e-07	42.6	Binding
179	2875	ADRA1A	C0020651	Orthostatic hypotension	2.09	2.1e-12	1.9e-08	49.4	Binding
179	3293	ADRA1A	C0033975	Psychotic disorder	1.8	2.1e-06	0.017	22.5	Binding
179	2665	ADRA1A	C0231919	Nasal dryness	8.36	2.7e-27	2.6e-23	117.1	Binding
179	1938	ADRA1A	C0020538	Hypertension	2.56	6.7e-05	0.045	15.9	Agonist
179	1483	ADRA1A	C0015726	Fear	8.34	2.8e-17	2.5e-14	71.5	Agonist
179	3312	ADRA1A	C0034063	Pulmonary oedema	3.71	6e-08	5e-04	29.3	Binding
179	4118	ADRA1A	C1456863	Vasoconstriction	7.86	1.1e-22	1e-18	96.2	Binding
179	2875	ADRA1A	C0020651	Orthostatic hypotension	2.48	3e-10	1.5e-06	39.7	Antagonist
179	2211	ADRA1A	C0022107	Irritability	3.55	6e-05	0.041	16.1	Agonist
179	3666	ADRA1A	C0851578	Sleep disorder	1.82	1.9e-07	0.0016	27.1	Binding
179	2663	ADRA1A	C0858259	Nasal discomfort	5.67	6.3e-10	5.5e-06	38.2	Binding
179	1573	ADRA1A	C0017086	Gangrene	3.76	1.5e-08	0.00013	32.1	Binding
179	2712	ADRA1A	C0027765	Nervous system disorder	4.81	4.6e-08	0.00038	29.9	Binding
179	2928	ADRA1A	C0030252	Palpitations	2.69	2.5e-06	0.0019	22.1	Agonist
179	3821	ADRA1A	C0039231	Tachycardia	1.78	5.5e-11	4.8e-07	43	Binding
179	1240	ADRA1A	C0013428	Dysuria	3.11	1.9e-05	0.014	18.3	Agonist
179	1913	ADRA1A	C0020458	Hyperhidrosis	1.85	3.7e-08	3e-04	30.3	Binding
179	1268	ADRA1A	C0235969	Ejaculation disorder	2.82	6.3e-09	5.3e-05	33.7	Binding
179	3680	ADRA1A	C0037383	Sneezing	5.61	1.2e-10	1.1e-06	41.4	Binding
179	2924	ADRA1A	C0030232	Pallor	3.88	2e-10	1.7e-06	40.5	Binding
179	778	ADRA1A	C2937358	Cerebral haemorrhage	5.71	4.5e-16	4.2e-12	66	Binding
180	4118	ADRA1B	C1456863	Vasoconstriction	7.98	2.2e-20	2.1e-16	85.6	Binding
180	2662	ADRA1B	C0027424	Nasal congestion	2.66	3e-08	0.00014	30.7	Antagonist
180	2924	ADRA1B	C0030232	Pallor	4.69	2.7e-14	2.4e-10	58	Binding
180	2875	ADRA1B	C0020651	Orthostatic hypotension	2.13	1.3e-11	1.2e-07	45.8	Binding
180	1219	ADRA1B	C0013384	Dyskinesia	3.45	1e-06	0.0047	23.9	Antagonist
180	2928	ADRA1B	C0030252	Palpitations	1.99	7.6e-10	6.5e-06	37.9	Binding
180	2665	ADRA1B	C0231919	Nasal dryness	9.61	3.4e-32	3.3e-28	139.5	Binding
180	1483	ADRA1B	C0015726	Fear	9.35	1e-37	9.7e-34	164.8	Binding
180	1094	ADRA1B	C0549249	Depressed level of consciousness	2.82	1.5e-06	0.012	23.2	Binding
180	1268	ADRA1B	C0235969	Ejaculation disorder	2.59	2.6e-06	0.02	22.1	Binding
180	1219	ADRA1B	C0013384	Dyskinesia	3.26	7.3e-13	6.5e-09	51.5	Binding
180	1268	ADRA1B	C0235969	Ejaculation disorder	3.42	1.2e-06	0.0056	23.6	Antagonist
180	2662	ADRA1B	C0027424	Nasal congestion	2.68	1.6e-15	1.5e-11	63.5	Binding
180	2712	ADRA1B	C0027765	Nervous system disorder	5.54	1.3e-09	1.1e-05	36.9	Binding
