Index	UMLS_CUI	SE_name
1	C0740292	5'nucleotidase increased
2	C0877217	Abasia
3	C0243001	Abdominal abscess
4	C0549357	Abdominal adhesions
5	C0232487	Abdominal discomfort
6	C0000731	Abdominal distension
7	C0178282	Abdominal hernia
8	C1112209	Abdominal infection
9	C0848377	Abdominal injury
10	C0000735	Abdominal neoplasm
11	C0000737	Abdominal pain
12	C0232495	Abdominal pain lower
13	C0232492	Abdominal pain upper
14	C0159066	Abdominal rigidity
15	C1141926	Abdominal sepsis
16	C0948610	Abdominal strangulated hernia
17	C0740651	Abdominal symptom
18	C0232498	Abdominal tenderness
19	C0263105	Abdominal wall abscess
20	C0233514	Abnormal behaviour
21	C0877331	Abnormal clotting factor
22	C0234458	Abnormal dreams
23	C0162287	Abnormal faeces
24	C0013418	Abnormal labour
25	C0497201	Abnormal sensation in eye
26	C0855246	Abnormal sleep-related event
27	C2609183	Abnormal withdrawal bleeding
28	C0156543	Abortion
29	C0812470	Abortion incomplete
30	C0000817	Abortion infected
31	C0000814	Abortion missed
32	C0000786	Abortion spontaneous
33	C0000833	Abscess
34	C0578455	Abscess limb
35	C0541754	Abscess sterile
36	C0000889	Acanthosis nigricans
37	C1504343	Acarodermatitis
38	C0000924	Accident
39	C0521208	Accident at home
40	C3544060	Accidental exposure to product
41	C0151821	Accidental overdose
42	C0152198	Accommodation disorder
43	C1260871	Acetonaemia
44	C0001122	Acidosis
45	C0085569	Acidosis hyperchloraemic
46	C0702166	Acne
47	C0010666	Acne cystic
48	C0263445	Acne fulminans
49	C0263437	Acne infantile
50	C0263443	Acne pustular
51	C1096116	Acquired haemophilia
52	C0001175	Acquired immunodeficiency syndrome
53	C3665770	Acquired lipoatrophic diabetes
54	C0037293	Acrochordon
55	C0001198	Acrodynia
56	C0001206	Acromegaly
57	C0022602	Actinic keratosis
58	C0234376	Action tremor
59	C0240671	Activated partial thromboplastin time prolonged
60	C0853224	Activated partial thromboplastin time shortened
61	C1868709	Activation syndrome
62	C0000727	Acute abdomen
63	C0948089	Acute coronary syndrome
64	C0014059	Acute disseminated encephalomyelitis
65	C0085077	Acute febrile neutrophilic dermatosis
66	C0877055	Acute generalised exanthematous pustulosis
67	C0856825	Acute graft versus host disease
68	C0162557	Acute hepatic failure
69	C1279945	Acute interstitial pneumonitis
70	C0085669	Acute leukaemia
71	C0023449	Acute lymphocytic leukaemia
72	C0023467	Acute myeloid leukaemia
73	C0155626	Acute myocardial infarction
74	C0001349	Acute phase reaction
75	C2747793	Acute phosphate nephropathy
76	C1167654	Acute prerenal failure
77	C0023487	Acute promyelocytic leukaemia
78	C1698394	Acute promyelocytic leukaemia differentiation syndrome
79	C0281774	Acute psychosis
80	C0155919	Acute pulmonary oedema
81	C0035222	Acute respiratory distress syndrome
82	C0264490	Acute respiratory failure
83	C0149512	Acute sinusitis
84	C0236816	Acute stress disorder
85	C0001361	Acute tonsillitis
86	C0001364	Acute yellow liver atrophy
87	C0001396	Adams-Stokes syndrome
88	C0001403	Addison's disease
89	C0001418	Adenocarcinoma
90	C0281361	Adenocarcinoma pancreas
91	C0001430	Adenoma benign
92	C0341858	Adenomyosis
93	C0001486	Adenovirus infection
94	C0001511	Adhesion
95	C0001546	Adjustment disorder
96	C1735864	Administration site infection
97	C0851536	Administration site reaction
98	C0920016	Adnexa uteri cyst
99	C1142133	Adnexa uteri mass
100	C1142117	Adnexa uteri pain
101	C0740804	Adnexal torsion
102	C0342490	Adrenal atrophy
103	C0001621	Adrenal disorder
104	C0750887	Adrenal gland cancer
105	C0151693	Adrenal haemorrhage
106	C0001623	Adrenal insufficiency
107	C0274714	Adrenergic syndrome
108	C0151467	Adrenocortical insufficiency acute
109	C0559546	Adverse reaction
110	C0001707	Aerophagia
111	C0233472	Affect lability
112	C0525045	Affective disorder
113	C2364111	Ageusia
114	C0001807	Aggression
115	C0085631	Agitation
116	C0919572	Agitation postoperative
117	C0001816	Agnosia
118	C0001818	Agoraphobia
119	C0001824	Agranulocytosis
120	C0001849	AIDS dementia complex
121	C0919569	Airway complication of anaesthesia
122	C0392156	Akathisia
123	C0426959	Akinaesthesia
124	C0085623	Akinesia
125	C0855619	Alanine aminotransferase abnormal
126	C0855618	Alanine aminotransferase decreased
127	C0151905	Alanine aminotransferase increased
128	C0855620	Alanine aminotransferase normal
129	C0001916	Albinism
130	C0151472	Albumin globulin ratio abnormal
131	C0564622	Albumin urine present
132	C0001925	Albuminuria
133	C0085762	Alcohol abuse
134	C0151474	Alcohol intolerance
135	C0392620	Alcohol poisoning
136	C0549393	Alcohol problem
137	C0236663	Alcohol withdrawal syndrome
138	C0376670	Alcoholic pancreatitis
139	C0033936	Alcoholic psychosis
140	C0001973	Alcoholism
141	C0002063	Alkalosis
142	C0151476	Alkalosis hypochloraemic
143	C0085570	Alkalosis hypokalaemic
144	C0008728	Allergic granulomatous angiitis
145	C1959797	Allergic hepatitis
146	C0847033	Allergic oedema
147	C0748726	Allergic sinusitis
148	C0458247	Allodynia
149	C0002170	Alopecia
150	C0150450	Altered state of consciousness
151	C1096444	Altered visual depth perception
152	C0013240	Alveolar osteitis
153	C0034050	Alveolar proteinosis
154	C0549493	Alveolitis
155	C0002390	Alveolitis allergic
156	C0376288	Amaurosis
157	C0149793	Amaurosis fugax
158	C0002418	Amblyopia
159	C0002453	Amenorrhoea
160	C0238621	Aminoaciduria
161	C0541772	Ammonia increased
162	C0002622	Amnesia
163	C0002631	Amniotic cavity infection
164	C0859978	Amylase decreased
165	C0151479	Amylase increased
166	C0002726	Amyloidosis
167	C0002871	Anaemia
168	C0002886	Anaemia macrocytic
169	C0002888	Anaemia megaloblastic
170	C0002891	Anaemia neonatal
171	C0877398	Anaemia postoperative
172	C2004521	Anaemia vitamin B12 deficiency
173	C0392008	Anaesthetic complication
174	C0854693	Anaesthetic complication neurological
175	C0281778	Anal abscess
176	C0003466	Anal atresia
177	C0279637	Anal cancer
178	C0343869	Anal candidiasis
179	C0016167	Anal fissure
180	C0205929	Anal fistula
181	C0426747	Anal haemorrhage
182	C0238634	Anal inflammation
183	C0033775	Anal pruritus
184	C0345903	Anal skin tags
185	C0152167	Anal spasm
186	C0877325	Anal sphincter atony
187	C0412784	Analgesic therapy
188	C0002792	Anaphylactic shock
189	C0340865	Anaphylactoid reaction
190	C1868769	Anaphylactoid syndrome of pregnancy
191	C0334579	Anaplastic astrocytoma
192	C0206180	Anaplastic large-cell lymphoma
193	C0238461	Anaplastic thyroid cancer
194	C0919691	Anastomotic leak
195	C1442968	Anastomotic ulcer
196	C0162311	Androgenetic alopecia
197	C0002902	Anencephaly
198	C0002940	Aneurysm
199	C0002957	Anger
200	C0002962	Angina pectoris
201	C0002965	Angina unstable
202	C1695895	Angiodermatitis
203	C0002994	Angioedema
204	C0020981	Angioimmunoblastic T-cell lymphoma
205	C0206633	Angiomyolipoma
206	C0042373	Angiopathy
207	C0017605	Angle closure glaucoma
208	C0178417	Anhedonia
209	C0003028	Anhidrosis
210	C0003044	Animal bite
211	C0852919	Animal scratch
212	C0342592	Anion gap increased
213	C0221278	Anisocytosis
214	C0159877	Ankle fracture
215	C0038013	Ankylosing spondylitis
216	C0009663	Anogenital warts
217	C0003119	Anophthalmos
218	C2242737	Anorectal discomfort
219	C0687707	Anorectal disorder
220	C0234022	Anorgasmia
221	C0003126	Anosmia
222	C0234507	Anosognosia
223	C0429468	Anovulatory cycle
224	C0003130	Anoxia
225	C0423282	Anterior chamber cell
226	C0423281	Anterior chamber flare
227	C1096278	Anterior chamber inflammation
228	C1112371	Anterior chamber pigmentation
229	C0221069	Anterior spinal artery syndrome
230	C0233795	Anterograde amnesia
231	C0003175	Anthrax
232	C1168134	Anti-thyroid antibody positive
233	C1262044	Antibody test negative
234	C0741132	Antibody test positive
235	C0151500	Anticholinergic syndrome
236	C0860811	Antidiuretic hormone abnormality
237	C0238874	Antineutrophil cytoplasmic antibody positive
238	C1610056	Antinuclear antibody increased
239	C0151480	Antinuclear antibody positive
240	C0233523	Antisocial behaviour
241	C0003431	Antisocial personality disorder
242	C1096670	Antitussive therapy
243	C0003460	Anuria
244	C0003467	Anxiety
245	C0003469	Anxiety disorder
246	C0003486	Aortic aneurysm
247	C0741160	Aortic aneurysm rupture
248	C1388177	Aortic arteriosclerosis
249	C0277934	Aortic bruit
250	C0003493	Aortic disorder
251	C0340643	Aortic dissection
252	C0741165	Aortic embolus
253	C0003496	Aortic rupture
254	C0003504	Aortic valve incompetence
255	C1455780	Aortic valve sclerosis
256	C0003507	Aortic valve stenosis
257	C0085632	Apathy
258	C0549400	Apgar score low
259	C0221470	Aphagia
260	C0003534	Aphakia
261	C0003537	Aphasia
262	C0003564	Aphonia
263	C0038363	Aphthous stomatitis
264	C0243065	Aplasia
265	C0282160	Aplasia cutis congenita
266	C0034902	Aplasia pure red cell
267	C0002874	Aplastic anaemia
268	C0003578	Apnoea
269	C0162638	Apoptosis
270	C0003615	Appendicitis
271	C0003621	Appetite disorder
272	C0234943	Application site anaesthesia
273	C0392160	Application site atrophy
274	C0877661	Application site burn
275	C1696942	Application site cellulitis
276	C0948299	Application site discharge
277	C1142160	Application site discolouration
278	C1328375	Application site discomfort
279	C0877098	Application site dryness
280	C0919599	Application site eczema
281	C1696574	Application site erosion
282	C0853700	Application site erythema
283	C1610049	Application site exfoliation
284	C1167675	Application site folliculitis
285	C0877095	Application site haematoma
286	C0877094	Application site haemorrhage
287	C0919600	Application site hyperaesthesia
288	C1504422	Application site hypersensitivity
289	C1535849	Application site induration
290	C0521496	Application site infection
291	C0877126	Application site inflammation
292	C0521490	Application site irritation
293	C0234936	Application site oedema
294	C0521491	Application site pain
295	C0877127	Application site papules
296	C0877096	Application site paraesthesia
297	C0853714	Application site pruritus
298	C0877128	Application site pustules
299	C0521495	Application site rash
300	C0151505	Application site reaction
301	C0948300	Application site scab
302	C1142459	Application site scar
303	C1096001	Application site swelling
304	C0521492	Application site ulcer
305	C0919603	Application site urticaria
306	C0877097	Application site vesicles
307	C0858794	Application site warmth
308	C0003635	Apraxia
309	C0003708	Arachnoiditis
310	C1142068	Arcus lipoides
311	C0234146	Areflexia
312	C0175683	Argininosuccinate synthetase deficiency
313	C0003811	Arrhythmia
314	C0428974	Arrhythmia supraventricular
315	C0852949	Arterial disorder
316	C0003834	Arterial insufficiency
