IZWVMBDZDRQDDZ-UHFFFAOYSA-N	N(c1ccccc1)c2nc[nH]c3nnc(Nc4ccccc4)c23	None	CHEMBL332333	N*3*,N*4*-Diphenyl-1H-pyrazolo[3,4-d]pyrimidine-3,4-diamine
KPGMHZQXQVDYNT-UHFFFAOYSA-N	OC1=C(Oc2ccccc2C1=O)c3ccc(O)c(O)c3	None	CHEMBL122701	2-(3,4-Dihydroxy-phenyl)-3-hydroxy-chromen-4-one
FFHPXOJTVQDVMO-DSYKOEDSSA-N	C[C@H]1O[C@H](C[C@@H]1O)n2cnc3c(N)ncnc23	None	CHEMBL1253350	2'5'-dideoxyadenosine
MBUPVGIGAMCMBT-UHFFFAOYSA-N	[O-][N+](=O)c1ccc(cc1)C(=O)CBr	None	CHEMBL106072	2-Bromo-1-(4-nitro-phenyl)-ethanone
ARYCMKPCDNHQCL-UHFFFAOYSA-N	Oc1ccc(cc1O)C2=CC(=O)c3ccc(O)c(O)c3O2	None	CHEMBL222541	7,8,3',4'-tetrahydroxyflavone
OPHKKQQCOYMLPW-UHFFFAOYSA-N	Cc1ccc(cc1)C2=CC(=O)c3ccccc3O2	None	CHEMBL16861	2-p-Tolyl-chromen-4-one
HJCIUNMVLYBADX-UHFFFAOYSA-N	Oc1ccc(cc1)C2=CC(=O)c3ccc(O)c(O)c3O2	None	CHEMBL420982	7,8-Dihydroxy-2-(4-hydroxy-phenyl)-chromen-4-one
WPLYTRWMCWBZEN-UHFFFAOYSA-N	O=C(NC1CCCCC1)Nc2ccccc2	None	CHEMBL365939	1-Cyclohexyl-3-phenyl-urea
BJVRKPCYZSFHDT-UHFFFAOYSA-N	COc1ccc(cc1)C(=O)NNC(=O)Cc2ccccc2	None	CHEMBL244921	4-methoxy-N'-(2-phenylacetyl)benzohydrazide
HGDVTCNLNRCTHW-OWOJBTEDSA-N	Nc1ccc(\C=C\c2ccc(O)cc2)cc1	None	CHEMBL194754	4-[(E)-2-(4-Amino-phenyl)-vinyl]-phenol
XQJAHBHCLXUGEP-UHFFFAOYSA-N	COc1ccc(cc1)C(=O)CBr	None	CHEMBL103009	2-Bromo-1-(4-methoxy-phenyl)-ethanone
YFEZLTPSCJWVHI-UHFFFAOYSA-N	Brc1cccc(c1)C2=CC(=O)c3ccccc3O2	None	CHEMBL55148	2-(3-Bromo-phenyl)-chromen-4-one
PUMYFTJOWAJIKF-UHFFFAOYSA-N	CN1C(=O)CN=C(c2ccc(Cl)cc2)c3cc(Cl)ccc13	RO-54864	CHEMBL286346	7-Chloro-5-(4-chloro-phenyl)-1-methyl-1,3-dihydro-benzo[e][1,4]diazepin-2-one
CORJIEYQXMZUIW-UHFFFAOYSA-N	COc1ccc(cc1)c2ccc(O)cc2	None	CHEMBL258552	4'-methoxy-biphenyl-4-ol
YNANGXWUZWWFKX-UHFFFAOYSA-N	COc1ccc(cc1)C(=O)C(=O)c2ccc(OC)cc2	None	CHEMBL191513	1,2-Bis-(4-methoxy-phenyl)-ethane-1,2-dione
NGWYJYHAFLMHNW-UHFFFAOYSA-N	Oc1ccc(C(=O)C(=O)c2ccc(O)cc2O)c(O)c1	None	CHEMBL192039	1,2-Bis-(2,4-dihydroxy-phenyl)-ethane-1,2-dione
SOJWEAJNHAWZTG-UHFFFAOYSA-N	[O-][N+](=O)c1cc(ccc1Cl)C(=O)c2ccc(Cl)c(c2)[N+](=O)[O-]	None	CHEMBL53082	Bis-(4-chloro-3-nitro-phenyl)-methanone
SGKVXDKTNJHBCA-UHFFFAOYSA-N	[O-][N+](=O)c1cccc(c1)C(=O)C(=O)c2cccc(c2)[N+](=O)[O-]	None	CHEMBL191796	1,2-Bis-(3-nitro-phenyl)-ethane-1,2-dione
NYCBYBDDECLFPE-UHFFFAOYSA-N	Brc1ccc(cc1)C(=O)C(=O)c2ccc(Br)cc2	None	CHEMBL193228	1,2-Bis-(4-bromo-phenyl)-ethane-1,2-dione
YDADTNARCJIMQM-UHFFFAOYSA-N	Oc1cccc(c1)c2nnc(nn2)c3cccc(O)c3	None	CHEMBL457636	3,3'-(1,2,4,5-tetrazine-3,6-diyl)diphenol
VOSNNSVWVJFJCR-UHFFFAOYSA-N	Clc1ccccc1C(=O)C(=O)c2ccccc2Cl	None	CHEMBL365392	1,2-Bis-(2-chloro-phenyl)-ethane-1,2-dione
