YGEIMSMISRCBFF-UHFFFAOYSA-M	calmidazolium
FZKWRPSUNUOXKJ-CVHRZJFOSA-N	doxycycline
BXNJHAXVSOCGBA-UHFFFAOYSA-N	harmine
PGBHMTALBVVCIT-VCIWKGPPSA-N	neomycin
FCPBIBMEHZFQEX-UHFFFAOYSA-N	probucol
SZQIFWWUIBRPBZ-UHFFFAOYSA-N	ethotoin
LUKBXSAWLPMMSZ-OWOJBTEDSA-N	resveratrol
JWHAUXFOSRPERK-UHFFFAOYSA-N	propafenone
CEAMAAGKCYWBPL-UHFFFAOYSA-N	mephentermine
TZYWCYJVHRLUCT-VABKMULXSA-N	MG-132
WYUYEJNGHIOFOC-UHFFFAOYSA-N	triprolidine
XHSPRPPTXAFZOX-UHFFFAOYSA-N	coralyne
BEDBXOIWRNCGAU-NFQNBQCWSA-N	lobeline
GHXZHWYUSAWISC-BFVJYCBLSA-N	ikarugamycin
FFTVPQUHLQBXQZ-RXSMKRGCSA-N	minocycline
WEQAYVWKMWHEJO-NSHDSACASA-N	chlormezanone
LSLYOANBFKQKPT-PIGZYNQJSA-N	fenoterol
XAUDJQYHKZQPEU-HSUXUTPPSA-N	decitabine
RHAXSHUQNIEUEY-UHFFFAOYSA-N	epirizole
PXGPLTODNUVGFL-JZFBHDEDSA-N	dinoprost
PHTUQLWOUWZIMZ-BOPFTXTBSA-N	dosulepin
KRBZRVBLIUDQNG-JBVYASIDSA-M	bucladesine
YSEXMKHXIOCEJA-OQHVVPOVSA-N	nicergoline
LPMXVESGRSUGHW-YKIODBQESA-N	ouabain
GUGOEEXESWIERI-UHFFFAOYSA-N	terfenadine
FYQXODZRNSCOTR-QLKRWLHJSA-N	atractyloside
IAVUPMFITXYVAF-SAVHEOEQSA-N	dorzolamide
BGRJTUBHPOOWDU-NSHDSACASA-N	sulpiride
POPFMWWJOGLOIF-XWCQMRHXSA-N	fludroxycortide
ZEMIJUDPLILVNQ-KRWWSPQJSA-N	pivampicillin
OJIPQOWZZMSBGY-ZZJGABIISA-N	hyoscyamine
GSLZGHSMNMZSLY-YQIBVIRQSA-N	tetracycline
VAGCRQULELDGPE-FGTMMUONSA-N	dextromethorphan
RUDATBOHQWOJDD-VAEWRIOYSA-N	ursodeoxycholic_acid
XZTUSOXSLKTKJQ-YCRQSZGSSA-N	digitoxigenin
GFNANZIMVAIWHM-CWTLCPEOSA-N	triamcinolone
RCINICONZNJXQF-POUKISRJSA-N	paclitaxel
MRBDMNSDAVCSSF-UHFFFAOYSA-N	phentolamine
GXFAIFRPOKBQRV-UIGABDJJSA-N	viomycin
LXMSZDCAJNLERA-GKVGVCEHSA-N	spironolactone
STECJAGHUSJQJN-QCHNFAGMSA-N	scopolamine
QDLHCMPXEPAAMD-QAIWCSMKSA-N	wortmannin
JROGBPMEKVAPEH-UHFFFAOYSA-N	emetine
MUNWAHDYFVYIKH-PHDIDXHHSA-N	betonicine
DQDZQHMCPDUUPC-UHFFFAOYSA-N	sulfadimethoxine
FCPVYOBCFFNJFS-LQDWTQKMSA-M	benzylpenicillin
CIWBSHSKHKDKBQ-DOAHDZERSA-N	ascorbic_acid
CQXADFVORZEARL-UHFFFAOYSA-O	rilmenidine
IXORZMNAPKEEDV-WWSAFQOPSA-N	gibberellic_acid
MWBWKVQOODCNCH-UHFFFAOYSA-N	famotidine
DHPRQBPJLMKORJ-XRNKAMNCSA-N	chlortetracycline
JQWQIOQHLSYJGI-UHFFFAOYSA-N	ipratropium_bromide
CLKOFPXJLQSYAH-UHFFFAOYSA-N	bacitracin
STECJAGHUSJQJN-UQTPLXADSA-N	scopolamine
PZKISQRTNNHUGF-OACYRQNASA-N	vitexin
MBBZMMPHUWSWHV-DBRKOABJSA-N	meglumine
DUHUCHOQIDJXAT-IVKIUQRRSA-N	alfaxalone
JLICHNCFTLFZJN-HNNXBMFYSA-N	meptazinol
XYNPYHXGMWJBLV-VXPJTDKGSA-N	tomatidine
BTRTVLHHULOPFJ-JBVYASIDSA-M	bucladesine
HMYJLVDKPJHJCF-MRVPVSSYSA-N	salsolidin
MUNWAHDYFVYIKH-UHFFFAOYSA-N	betonicine
VKJGBAJNNALVAV-UHFFFAOYSA-M	berberine
ORNBQBCIOKFOEO-QYYVTAPASA-N	pregnenolone
ZEWQUBUPAILYHI-UHFFFAOYSA-O	trifluoperazine
ZNNLBTZKUZBEKO-UHFFFAOYSA-N	glibenclamide
QAOBBBBDJSWHMU-BKSAQPBESA-N	16,16-dimethylprostaglandin_E2
LQCLVBQBTUVCEQ-QTFUVMRISA-N	troleandomycin
ASUTZQLVASHGKV-SAMGGIJGSA-N	galantamine
XQFRJNBWHJMXHO-DSYKOEDSSA-N	idoxuridine
OJMMVQQUTAEWLP-LPSAIEBYSA-N	lincomycin
AZSNMRSAGSSBNP-KKWNAUQJSA-N	ivermectin
TZGGGAABSYEBCH-BPYTUWLESA-N	nystatin
NWXMGUDVXFXRIG-DXMYQVORSA-N	tetracycline
XJHDMGJURBVLLE-UABIXTSPSA-N	santonin
LDDHMLJTFXJGPI-LFPUEVJFSA-N	memantine
VWPOSFSPZNDTMJ-GRTSSRMGSA-N	nadolol
SXXHVPYRDFJKPG-UHFFFAOYSA-N	tomatidine
IPWKIXLWTCNBKN-LURJTMIESA-N	ornidazole
LSLYOANBFKQKPT-UHFFFAOYSA-N	fenoterol
NXDBFIUCDBZBPP-UHFFFAOYSA-N	furosemide
AQONYROJHRNYQQ-CHRWQSGFSA-N	viomycin
PZTCVADFMACKLU-CCZWQWCCSA-N	lymecycline
RMMXTBMQSGEXHJ-UHFFFAOYSA-N	aminophenazone
SHIBSTMRCDJXLN-KDBDTJIGSA-N	digoxigenin
VIKNJXKGJWUCNN-ULCNYCTPSA-N	norethisterone
KFYRPLNVJVHZGT-UHFFFAOYSA-N	amitriptyline
RCINICONZNJXQF-PKCHNARUSA-N	paclitaxel
QELDJEKNFOQJOY-ZDUSSCGKSA-N	isocorydine
QWAXKHKRTORLEM-LINFGICFSA-N	saquinavir
BNPSSFBOAGDEEL-UHFFFAOYSA-N	salbutamol
VOXZDWNPVJITMN-ZZEXBNFBSA-N	estradiol
XJLSEXAGTJCILF-YFKPBYRVSA-N	nipecotic_acid
IECPWNUMDGFDKC-SMSBSRTJSA-N	fusidic_acid
LTEXAUVYLLADEB-WLHGVMLRSA-N	serotonin
FEBOTPHFXYHVPL-UHFFFAOYSA-N	benperidol
VOXZDWNPVJITMN-ZBRFXRBCSA-N	estradiol
SLRCCWJSBJZJBV-TUVASFSCSA-N	sparteine
YSEXMKHXIOCEJA-OECQAKIHSA-N	nicergoline
XGVJWXAYKUHDOO-FWYOQMDTSA-N	lycorine
PMATZTZNYRCHOR-VJRYSDSKSA-N	ciclosporin
IXFPJGBNCFXKPI-UHFFFAOYSA-N	thapsigargin
NEDVJZNVOSNSHF-ZNHDNBJUSA-N	atropine_methonitrate
ULLNJSBQMBKOJH-NUZMXOBKSA-N	tribenoside
TVYLLZQTGLZFBW-ZBFHGGJFSA-O	isocorydine
SLAYUXIURFNXPG-CRAIPNDOSA-N	ceforanide
YRCWQPVGYLYSOX-SECBINFHSA-N	oxedrine
WMWTYOKRWGGJOA-SMFDZHJNSA-N	fluticasone
DTOUUUZOYKYHEP-PMACEKPBSA-N	hexetidine
DKATUDLICUZKEG-UHFFFAOYSA-N	dexamethasone
CKESVQPODPXKGQ-UHFFFAOYSA-M	theophylline
JAPHQRWPEGVNBT-UHFFFAOYSA-N	loracarbef
YVQVOQKFMFRVGR-NGPAHMQLSA-N	furaltadone
KMPWYEUPVWOPIM-UGIJEHRASA-N	cinchonine
APKFDSVGJQXUKY-XISKKFKUSA-N	amphotericin_B
VPHHLUBYHQLWKI-UHFFFAOYSA-N	ofloxacin
IWUCXVSUMQZMFG-KRJHYDBASA-N	ribavirin
FPUXKXIZEIDQKW-QKIBHQHCSA-N	ginkgolide_A
VHYCDWMUTMEGQY-KRWDZBQOSA-N	bisoprolol
QLTXKCWMEZIHBJ-WLHGVMLRSA-N	dizocilpine
WZOZEZRFJCJXNZ-ZBFHGGJFSA-M	cefoxitin
YYBSDOZYJSGLTH-UHFFFAOYSA-N	CAY-10397
JVBLTQQBEQQLEV-AUSJEWTGSA-N	delsoline
PUHHCXRCLJILIJ-UHFFFAOYSA-N	ursodeoxycholic_acid
PCTRYMLLRKWXGF-UHFFFAOYSA-N	tracazolate
SGXXNSQHWDMGGP-UHFFFAOYSA-N	nizatidine
GNUXVOXXWGNPIV-UHFFFAOYSA-N	famprofazone
AXGWQMGSKOZGLA-AWPCGBSGSA-N	clindamycin
VMWNQDUVQKEIOC-ZDUSSCGKSA-N	apomorphine
XQFRJNBWHJMXHO-FANCZFNKSA-N	idoxuridine
XAUDJQYHKZQPEU-SRQIZXRXSA-N	decitabine
DDKIYQCGJUBFIE-UHFFFAOYSA-N	biperiden
HUEYSSLYFJVUIS-MRFSYGAJSA-N	emetine
LRWRQTMTYVZKQW-WWDNQWNISA-N	piperacillin
IWUCXVSUMQZMFG-ORYDJHDTSA-N	ribavirin
VSJKWCGYPAHWDS-QOWOAITPSA-N	camptothecin
FLNXBVJLPJNOSI-UHFFFAOYSA-N	cloperastine
IXFPJGBNCFXKPI-NQUWGWRKSA-N	thapsigargin
DQPBKZBZDUDPSL-UHFFFAOYSA-N	PHA-00846566E
UEDSMMYQDXRRNR-UHFFFAOYSA-N	vinblastine
JYGXADMDTFJGBT-HYCSIWNGSA-N	hydrocortisone
ICLWTJIMXVISSR-UHFFFAOYSA-N	gallamine_triethiodide
ZDFDJJJGIRGMBE-UHFFFAOYSA-N	nystatin
RCINICONZNJXQF-NVOPOYJOSA-N	paclitaxel
